chunkId,content,StartPage,EndPage,heading,ContentWordCount,pdfName,contentType,image,summary
1,"RBI/2017-18/4 FIDD.CO.FSD.BC.No.7/05.05.010/2017-18                                                                  July 3, 2017 The Chairman / Managing Director /Chief Executive Officer All Scheduled Commercial Banks (including Small Finance Banks and excluding RRBs) Madam/Sir,",,,,25,input/md/english\04MCKCC03072017.pdf,para,,"The RBI issued a circular to all scheduled commercial banks, including small finance banks, excluding RRBs, on July 3, 2017."
3,,,,MasterCircular-KisanCreditCard(Kcc)Scheme,66,input/md/english\04MCKCC03072017.pdf,para,,"The Master Circular on the Kisan Credit Card (KCC) Scheme provides guidelines for the implementation of the scheme by banks. It covers aspects such as eligibility criteria, purpose of the KCC, and the features of the card. The circular also outlines the documentation required for availing KCC and the process for disbursement of the credit. Additionally, it includes information on the security for KCC, monitoring and review, and the role of government agencies in the implementation of the scheme."
5,"The Reserve Bank of India has issued guidelines on Kisan Credit Card (KCC) scheme from time to time. This Master Circular consolidates the relevant guidelines issued by the Bank on Kisan Credit Card scheme upto June 30, 2017 as listed in the Appendix. 2. The Master Circular has been placed on the RBI website http://www.rbi.org.in. Yours faithfully 
 
(Ajay Kumar Misra) Chief General Manager Encl: As above",,,1Introduction,139,input/md/english\04MCKCC03072017.pdf,para,,"The Reserve Bank of India has issued guidelines on the Kisan Credit Card (KCC) scheme, consolidating relevant guidelines up to June 30, 2017. The Master Circular containing these guidelines has been made available on the RBI website."
7,,,,ApplicabilityOfTheScheme2,23,input/md/english\04MCKCC03072017.pdf,para,,"The scheme applies to all government employees, including those on deputation from the Central Government, State Government, or any other organization. The scheme also applies to employees of autonomous bodies, statutory organizations, and public sector undertakings. It is also applicable to employees of local bodies, universities, and educational institutions. The scheme is not applicable to employees of unaided educational institutions, private organizations, and non-governmental organizations. Additionally, the scheme does not apply to employees who are not eligible for pension benefits from the government."
9,"The Kisan Credit Card (KCC) scheme was introduced in 1998 for issue of Kisan Credit Cards to farmers on the basis of their holdings for uniform adoption by the banks so that farmers may use them to readily purchase agriculture inputs such as seeds, fertilizers, pesticides etc. and draw cash for their production needs. The scheme was further extended for the investment credit requirement of farmers viz. allied and non-farm activities in the year 2004. The scheme was further revisited in 2012 by a working Group under the Chairmanship of Shri T. M. Bhasin, CMD, Indian Bank with a view to simplify the scheme and facilitate issue of Electronic Kisan Credit Cards. The scheme provides broad guidelines to banks for operationalizing the KCC scheme. Implementing banks will have the discretion to adopt the same to suit institution/location specific requirements.",,,3**Objective/Purpose**,117,input/md/english\04MCKCC03072017.pdf,para,,"The Kisan Credit Card (KCC) scheme was introduced in 1998 to provide farmers with a convenient way to purchase agriculture inputs and access cash for their production needs. In 2004, the scheme was expanded to cover investment credit requirements for allied and non-farm activities. A working group in 2012, chaired by Shri T. M. Bhasin, revisited the scheme to simplify it and facilitate the issuance of Electronic Kisan Credit Cards. The scheme offers general guidelines for banks to implement the KCC, allowing implementing banks to adapt them to specific institutional or locational needs."
11,,,,4Eligibility,35,input/md/english\04MCKCC03072017.pdf,para,,The eligibility criteria for the program were not provided in the document.
13,"The Kisan Credit Card Scheme detailed in the ensuing paragraphs is to be implemented by Commercial Banks, RRBs, Small Finance Banks and Cooperatives.",,,5FixationOfCreditLimit/LoanAmount,14,input/md/english\04MCKCC03072017.pdf,para,,"The Kisan Credit Card Scheme is to be implemented by various financial institutions including Commercial Banks, RRBs, Small Finance Banks, and Cooperatives."
15,,,,5.1AllFarmersOtherThanMarginalFarmers1:,653,input/md/english\04MCKCC03072017.pdf,para,,The section does not contain any content to summarize.
17,"The Kisan Credit Card scheme aims at providing adequate and timely credit support from the banking system under a single window with flexible and simplified procedure to the farmers for their cultivation and other needs as indicated below: 
 
a. 
To meet the short term credit requirements for cultivation of crops; 
 
b. 
Post-harvest expenses; 
 
c. 
Produce marketing loan; 
 
d. 
Consumption requirements of farmer household; 
 
e. 
Working capital for maintenance of farm assets and activities allied to agriculture; 
 
   f. 
  Investment credit requirement for agriculture and allied activities.   
 
 
Note: The aggregate of components '**a' to 'e'** above will form the short term credit limit 
portion and the aggregate of components under 'f' will form the long term credit limit 
portion.",,,5.2ForMarginalFarmers,118,input/md/english\04MCKCC03072017.pdf,para,,"The Kisan Credit Card scheme provides timely credit support to farmers for various needs including cultivation, post-harvest expenses, marketing loans, household consumption, and working capital for farm maintenance. It also covers investment credit requirements for agriculture and allied activities. The short term credit limit includes components a to e, while the long term credit limit includes components under f. The scheme aims to simplify the credit process and provide a single window for farmers to access banking support for their agricultural activities."
19,,,,6Disbursement,151,input/md/english\04MCKCC03072017.pdf,para,,Summary: The disbursement process involves the release of funds to the intended recipients. It is an essential part of the overall financial management process. Disbursement activities should be carried out in accordance with established policies and procedures to ensure transparency and accountability. Proper documentation and record-keeping are crucial for tracking disbursement activities. Effective disbursement processes contribute to the efficient utilization of funds and the achievement of organizational objectives.
21,"i. 
Farmers - individual/joint borrowers who are owner cultivators; 
 
ii. 
Tenant farmers, oral lessees & share croppers; 
 
iii. 
Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers including tenant farmers, share croppers etc.",,,7IssueOfElectronicKisanCreditCards,95,input/md/english\04MCKCC03072017.pdf,para,,"The electronic Kisan Credit Cards are issued to individual and joint borrowers who are owner cultivators, as well as to tenant farmers, oral lessees, and share croppers. Additionally, the cards can be issued to Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers, including tenant farmers and share croppers."
23,,,,8Validity/Renewal,122,input/md/english\04MCKCC03072017.pdf,para,,The section on Validity/Renewal does not contain any content to summarize.
