,chunkId,content,heading,StartPage,EndPage,ContentWordCount,pdfName,contentType,image,summary
0,1.0,## Nabard Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,9,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
1,2.0,# National Bank For Agriculture Mumbai 2015,,,,7,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
2,3.0,"""The issue of profitability of small holding based agriculture has assumed importance in view of increasing proportion of small and marginal farmers in the country. I propose to supplement NABARD's Producers' organization development fund for Producer's development and upliftment called PRODUCE with a sum of Rs 200 crore which will be utilized for building 2,000 producers organizations across the country over the next two years."" Shri Arun Jaitley, Hon'ble Union Finance Minister, Govt. of India",National Bank For Agriculture Mumbai 2015,,,75,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
3,4.0,# And Rural Development,,,,4,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
4,5.0,## Nabard'S Mission,And Rural Development,,,3,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
5,6.0,"Promote sustainable and equitable  agriculture and rural prosperity through  effective credit support, related services,    institution development and other           innovative initiatives.","And Rural Development,Nabard'S Mission",,,20,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
6,7.0,# Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,8,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
7,,,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,0,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
8,,"and Rural Development National Bank for Agriculture Mumbai  2015 Title                               :                                  Farmer Producer Organisations - Frequently Asked Questions (FAQs)   Written and Published by                               :                                  Farm Sector Policy Department & Farm Sector                                   Development Department, NABARD Head Office, Mumbai  Date of Publishing                               :                                  March 2015 Design & Printing                               :                                  M/s Image Impression Contact                               :                                  Plot No C-24, 'G' Block, Bandra Kurla Complex,                                  Bandra East, Mumbai - 400051.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,65,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
9,,India.,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,1,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
10,,"                                 Tel: +91 22 26539843                                  Website: www.nabard.org, www.youtube.com/nabardonline    © 2015 National Bank for Agriculture and Rural Development Unless otherwise stated in this document, no part of this document may be reproduced or transmitted in any form by any means without the written authorization from NABARD.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,44,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
