,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,## Nabard Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,,9,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
1,2,# National Bank For Agriculture Mumbai 2015,,,,,,7,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
2,3,"""The issue of profitability of small holding based agriculture has assumed importance in view of increasing proportion of small and marginal farmers in the country. I propose to supplement NABARD's Producers' organization development fund for Producer's development and upliftment called PRODUCE with a sum of Rs 200 crore which will be utilized for building 2,000 producers organizations across the country over the next two years."" Shri Arun Jaitley, Hon'ble Union Finance Minister, Govt. of India",National Bank For Agriculture Mumbai 2015,,,,,75,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,
3,4,# And Rural Development,,,,,,4,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
4,5,## Nabard'S Mission,And Rural Development,,,,,3,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
5,6,"Promote sustainable and equitable  agriculture and rural prosperity through  effective credit support, related services,    institution development and other           innovative initiatives.","And Rural Development,Nabard'S Mission",,,,,20,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,
6,7,# Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,,8,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
7,7,"and Rural Development National Bank for Agriculture Mumbai  2015 Title                               :                                  Farmer Producer Organisations - Frequently Asked Questions (FAQs)   Written and Published by                               :                                  Farm Sector Policy Department & Farm Sector                                   Development Department, NABARD Head Office, Mumbai  Date of Publishing                               :                                  March 2015 Design & Printing                               :                                  M/s Image Impression Contact                               :                                  Plot No C-24, 'G' Block, Bandra Kurla Complex,                                  Bandra East, Mumbai - 400051. India.                                  Tel: +91 22 26539843                                  Website: www.nabard.org, www.youtube.com/nabardonline    © 2015 National Bank for Agriculture and Rural Development Unless otherwise stated in this document, no part of this document may be reproduced or transmitted in any form by any means without the written authorization from NABARD. FOREWORD National Bank for Agriculture and Rural Development (NABARD) sincerely acknowledges the efforts of Shri K K Gupta, former Director, Bankers Institute of Rural Development (BIRD) Lucknow and his team of Faculty Members who have made significant contribution in bringing out this Manual on Farmer Producer Organizations. Special thanks are due to Faculty Members of BIRD viz. Shri D.  Nageswara Rao (Coordinator), Shri U.D. Shirsalkar, Shri Jaideep Srivastava, Shri R.K. Srivastava, Shri Maheshwar Sahoo, Shri G.S. Rawat and Shri K.I. Shariff, for collating information from different sources and organizing various chapters in a sequential manner. They have taken due care in drafting and editing the contents in a user friendly way. Shri Sunil Chawla, Joint Director, Dr. K.C. Sharma, Shri Niraj Kumar Verma and Shri KL Vinaya, Faculty Members of BIRD have also given their help in proof reading and improving the contents of the manual. The access to the material and information from earlier manuals and resources on the subject developed, *inter alia*, by Department of Agriculture and Cooperation (DAC) in Ministry of Agriculture, Govt.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,286,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,
8,7,"of India,  Small Farmers Agribusiness Consortium  (SFAC) as also Dr. Amar KJR Nayak, Professor of Management & Centre Director, National Centre for Sustainable Community Systems, Lal Bahadur Shastri National Academy of Administration, Mussoorie and Action for Social Advancement (ASA), Bhopal, is sincerely acknowledged.   Conceptualization and development of manual would not have been possible without the continued encouragement, support and guidance of Dr. Harsh Kumar Bhanwala, Chairman NABARD, Shri R Amalorpavanathan and Shri H R Dave, Deputy Managing Directors of NABARD. Also, the initiatives taken and efforts put in by Dr. P Radhakrishnan, Chief General Manager, Dr. A R Khan and Shri Sanjay Kumar Dora, Deputy General Managers in coordinating with BIRD and other organizations/ departments in bringing out this manual, are greatly acknowledged. Dr. B G Mukhopadhyay Chief General Manager Farm Sector Development Department NABARD Head Office, Mumbai     The Objective of this Manual is to act as a guide to Producer Organisation Promoting Institutions (POPIs) in Promoting and Capacity Building of Producer Organisations (POs) and help POs towards better Management and Business Development.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,173,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,
9,10,## Contents,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,2,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,heading,,
