,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,"""The issue of profitability of small holding based agriculture has assumed importance in view of increasing proportion of small and marginal farmers in the country. I propose to supplement NABARD's Producers' organization development fund for Producer's development and upliftment called PRODUCE with a sum of Rs 200 crore which will be utilized for building 2,000 producers organizations across the country over the next two years."" Shri Arun Jaitley, Hon'ble Union Finance Minister, Govt. of India",National Bank For Agriculture Mumbai 2015,,,,,75,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"The profitability of small holding based agriculture is a growing concern due to the increasing number of small and marginal farmers in the country. To address this, a proposal to supplement NABARD's Producers' organization development fund with Rs 200 crore has been made by Shri Arun Jaitley, Hon'ble Union Finance Minister, Govt. of India. This fund will be used for the development and upliftment of producers through the creation of 2,000 producers organizations across the country over the next two years."
1,2,"Promote sustainable and equitable  agriculture and rural prosperity through  effective credit support, related services,    institution development and other           innovative initiatives.and Rural Development National Bank for Agriculture Mumbai  2015 Title                               :                                  Farmer Producer Organisations - Frequently Asked Questions (FAQs)   Written and Published by                               :                                  Farm Sector Policy Department & Farm Sector                                   Development Department, NABARD Head Office, Mumbai  Date of Publishing                               :                                  March 2015 Design & Printing                               :                                  M/s Image Impression Contact                               :                                  Plot No C-24, 'G' Block, Bandra Kurla Complex,                                  Bandra East, Mumbai - 400051. India.                                  Tel: +91 22 26539843                                  Website: www.nabard.org, www.youtube.com/nabardonline    © 2015 National Bank for Agriculture and Rural Development Unless otherwise stated in this document, no part of this document may be reproduced or transmitted in any form by any means without the written authorization from NABARD. FOREWORD National Bank for Agriculture and Rural Development (NABARD) sincerely acknowledges the efforts of Shri K K Gupta, former Director, Bankers Institute of Rural Development (BIRD) Lucknow and his team of Faculty Members who have made significant contribution in bringing out this Manual on Farmer Producer Organizations. Special thanks are due to Faculty Members of BIRD viz. Shri D.","And Rural Development,Farmer Producer Organisations Frequently Asked Questions (Faqs),Nabard'S Mission",,,,,189,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"This document was published by the Farm Sector Policy Department & Farm Sector Development Department of NABARD in March 2015. It aims to promote sustainable and equitable agriculture and rural prosperity through effective credit support, related services, institution development, and innovative initiatives. The National Bank for Agriculture and Rural Development (NABARD) acknowledges the efforts of Shri K K Gupta and his team for their significant contribution to the manual on Farmer Producer Organizations. The document contains frequently asked questions (FAQs) about Farmer Producer Organisations and is intended to provide information and guidance on this topic. Unless authorized by NABARD, no part of this document may be reproduced or transmitted in any form."
2,2," Nageswara Rao (Coordinator), Shri U.D. Shirsalkar, Shri Jaideep Srivastava, Shri R.K. Srivastava, Shri Maheshwar Sahoo, Shri G.S. Rawat and Shri K.I. Shariff, for collating information from different sources and organizing various chapters in a sequential manner. They have taken due care in drafting and editing the contents in a user friendly way. Shri Sunil Chawla, Joint Director, Dr. K.C. Sharma, Shri Niraj Kumar Verma and Shri KL Vinaya, Faculty Members of BIRD have also given their help in proof reading and improving the contents of the manual. The access to the material and information from earlier manuals and resources on the subject developed, *inter alia*, by Department of Agriculture and Cooperation (DAC) in Ministry of Agriculture, Govt. of India,  Small Farmers Agribusiness Consortium  (SFAC) as also Dr. Amar KJR Nayak, Professor of Management & Centre Director, National Centre for Sustainable Community Systems, Lal Bahadur Shastri National Academy of Administration, Mussoorie and Action for Social Advancement (ASA), Bhopal, is sincerely acknowledged.   Conceptualization and development of manual would not have been possible without the continued encouragement, support and guidance of Dr. Harsh Kumar Bhanwala, Chairman NABARD, Shri R Amalorpavanathan and Shri H R Dave, Deputy Managing Directors of NABARD.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,197,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"The manual was collated by a team of individuals who took care in drafting and editing the contents in a user-friendly manner. They received help from various individuals and organizations in proofreading and improving the contents. The access to material and information from earlier manuals and resources on the subject is acknowledged. The conceptualization and development of the manual would not have been possible without the continued encouragement, support, and guidance of key individuals."
3,2,"Also, the initiatives taken and efforts put in by Dr. P Radhakrishnan, Chief General Manager, Dr. A R Khan and Shri Sanjay Kumar Dora, Deputy General Managers in coordinating with BIRD and other organizations/ departments in bringing out this manual, are greatly acknowledged. Dr. B G Mukhopadhyay Chief General Manager Farm Sector Development Department NABARD Head Office, Mumbai     The Objective of this Manual is to act as a guide to Producer Organisation Promoting Institutions (POPIs) in Promoting and Capacity Building of Producer Organisations (POs) and help POs towards better Management and Business Development.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,,,93,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,This manual acknowledges the efforts of several individuals in coordinating with BIRD and other organizations to bring it to fruition. It aims to guide Producer Organisation Promoting Institutions (POPIs) in promoting and capacity building of Producer Organisations (POs) and assisting POs in management and business development.
4,6,"| Chapters      | Particulars                                                | Page No.    |
|---------------|------------------------------------------------------------|-------------|
| 1             | Concept of Producer Organisation                           | 1           |
| 2             | Producer Organisation Registered as Cooperative Society    | 15          |
| 3             | Producer Organisation Registered as Producer Company       | 19          |
| 4             | Producer Organisation Registered as Non-Profit Society     | 33          |
| 5             | Producer Organisation Registered as Trust                  | 36          |
| 6             | Producer Organisation Registered as Section 8 Company      | 39          |
| 7             | Business Planning                                          | 42          |
| 8             | Financial Management                                       | 55          |
| 9             | Funding Arrangement                                        | 60          |
| 10            | Monitoring by the PO, POPI and Funding Agencies            | 80          |
| Attachment    |                                                            |             |
| 1             | Producer Company Act provisions                            |             |
| 2             | PRODUCE Fund Operational Guidelines                        | 106         |
| 3             | SFAC Circular on Promoting / supporting Producer Companies | 114         |
| 4             | Case Study on Bilaspur Model of PO                         | 125         |
| 5             | Indicative Framework of the process of forming a PO        | 131         |
| 6             | References                                                 | 138         |
| 7             | Memorandum of Agreement between NABARD and POPI            | 139         |
| 8             | Memorandum of Understanding between NABARD and RSA         | 143         |
| 9             |                                                            |             |
| Abbreviations |                                                            |             |
|               |                                                            |             |
| 146           |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |","Farmer Producer Organisations Frequently Asked Questions (Faqs),Contents",,,,,139,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,table,,"This document contains information on various aspects of Farmer Producer Organisations (FPOs) including their registration as cooperative societies, producer companies, non-profit societies, trusts, and section 8 companies. It also covers topics such as business planning, financial management, funding arrangements, and monitoring by the FPO, POPI, and funding agencies. Additionally, it includes attachments such as the Producer Company Act provisions, PRODUCE Fund Operational Guidelines, SFAC Circular on promoting/supporting producer companies, case studies, and a framework for the process of forming an FPO. Abbreviations are also provided at the end of the document."
5,4,"A Producer Organisation (PO) is a legal entity formed by primary producers, viz. farmers, milk producers, fishermen, weavers, rural artisans, craftsmen. A PO can be a producer company, a cooperative society or any other legal form which provides for sharing of profits/benefits among the members. In some forms like producer companies, institutions of primary producers can also become member of PO. 1.2  What is the need for PO?  The main aim of PO is to ensure better income for the producers through an organization of their own.  Small producers do not have the volume individually (both inputs and produce) to get the benefit of economies of scale. Besides, in agricultural marketing, there is a long chain of intermediaries who very often work non-transparently leading to the situation where the producer receives only a small part of the value that the ultimate consumer pays. Through aggregation, the primary producers can avail the benefit of economies of scale. They will also have better bargaining power vis-à-vis the bulk buyers of produce and bulk suppliers of inputs. 1.3  What is a ""Farmers Producer Organisation"" (FPO)?  It is one type of PO where the members are farmers.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,,,193,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"A Producer Organisation (PO) is a legal entity formed by primary producers, such as farmers, milk producers, fishermen, weavers, rural artisans, and craftsmen, to share profits and benefits. The main purpose of a PO is to ensure better income for the producers through their own organization, as small producers may not have the volume individually to benefit from economies of scale. In agricultural marketing, there is often a non-transparent chain of intermediaries, resulting in the producer receiving only a small part of the value paid by the consumer. By aggregating, primary producers can benefit from economies of scale and have better bargaining power. A ""Farmers Producer Organisation"" (FPO) is a type of PO where the members are farmers."
6,4,"Small Farmers' Agribusiness Consortium (SFAC) is providing support for promotion of FPOs. PO is a generic name for an organization of producers of any produce, e.g., agricultural, non-farm products, artisan products, etc. 1.4  Can there be a PO for non-farmers?  Yes. The PO is an organization of the primary producers. If the produce in question is a nonfarm item (for example, handloom or handicraft), then the PO will be that of non-farmers. The objective of the PO is to ensure better income realization to its members (who are producers) through aggregation and, if feasible, value addition. 1.5  What are the essential features of a PO?  a. It is formed by a group of producers for either farm or non-farm activities. b. It is a registered body and a legal entity. c. Producers are shareholders in the organization. d. It deals with business activities related to the primary produce/product. e. It works for the benefit of the member producers. f. A part of the profit is shared amongst the producers. g. Rest of the surplus is added to its owned funds for business expansion.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,,,183,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"Producer organisations (POs) are groups of producers of any type of produce, including agricultural, non-farm, and artisan products. POs can also be formed for non-farm items like handloom or handicraft. The main objective of a PO is to ensure better income for its members through aggregation and value addition. Essential features of a PO include being a registered legal entity, with producers as shareholders, engaging in business activities related to the primary produce, and working for the benefit of member producers. Additionally, a part of the profit is shared among the producers, while the rest is added to owned funds for business expansion."
7,9,"The ownership of the PO is with its members. It is an organization of the producers, by the producers and for the producers. One or more institutions and/or individuals may have promoted the PO by way of assisting in mobilization, registration, business planning and operations. However, ownership control is always with members and management is through the representatives of the members.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.6 Who Owns The Po?",,,,,61,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"The ownership of the Farmer Producer Organisation (PO) lies with its members, making it an organization for the producers. While institutions or individuals may have assisted in its promotion and operations, the control and ownership always remain with the members. The PO is established by and for the producers, with management being carried out through the representatives of the members."
8,10,"Any individual or institution can promote a PO. Individual persons or institutions may promote PO using their own resources out of goodwill or with the noble objective of socioeconomic development of producers. If, however, the facilitating agency wishes to seek financial and other support, then they have to meet the requirements of the donor/financing agency. 1.8  Who provides support for promotion of PO?  NABARD, SFAC, Government Departments, Corporates and Domestic & International Aid Agencies provide financial and/or technical support to the Producer Organisation Promoting Institution (POPI) for promotion and hand-holding of the PO. Each agency has its own criteria for selecting the project/promoting institution to support. 1.9  Can an NGO promote PO?","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.7 Who Can Promote A Po?",,,,,112,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"Any individual or institution can promote a PO, using their own resources or seeking financial support from agencies like NABARD, SFAC, Government Departments, Corporates, and Aid Agencies. These agencies have their own criteria for selecting projects to support. If a facilitating agency wishes to seek financial and other support, they must meet the requirements of the donor/financing agency. NGOs can also promote PO, either using their own resources or by seeking support from the aforementioned agencies."
9,11,"Producer Organisation can be registered under any of the following legal provisions:  a. Cooperative Societies Act/ Autonomous or Mutually Aided Cooperative Societies Act  of the respective State  b. Multi-State Cooperative Society Act, 2002 c. Producer Company under Section 581(C) of Indian Companies Act, 1956, as amended  in 2013  d. Section 25 Company of Indian Companies Act, 1956, as amended as Section 8 in 2013 e. Societies registered under Society Registration Act, 1860 f. Public Trusts registered under Indian Trusts Act, 1882","Farmer Producer Organisations Frequently Asked Questions (Faqs),Yes, It Can. The Ngo May Be A Non-Profit Organization, But Not The Po. The Ngo Can Promote Po Which Will Provide Better Income To The Members. Sharing Of Profit Among Members Is An Important Objective Of The Po. 1.10 What Are The Different Legal Forms Of Po?",,,,,81,input/md/english/FARMER PRODUCER ORGANISATIONS.pdf,para,,"Producer Organisations can be registered under various legal provisions including Cooperative Societies Act, Multi-State Cooperative Society Act, Producer Company under Indian Companies Act, Section 25 Company of Indian Companies Act, Societies registered under Society Registration Act, and Public Trusts registered under Indian Trusts Act."
