,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,"lR;eso t;rsGovernment of India Department of Agriculture, Co-operation & Farmers' Welfare Ministry of Agriculture & Farmers' WelfareGovernment of India Department of Agriculture, Co-operation & Farmers' Welfare Ministry of Agriculture & Farmers' WelfareGovernment of India Department of Agriculture, Co-operation & Farmers' Welfare Ministry of Agriculture & Farmers' Welfare","Formation And Promotion Of 10,000 Farmer Producer Organizations (Fpos) Operational Guidelines,nan",,,,,50,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"The document contains the operational guidelines for the formation and promotion of 10,000 Farmer Producer Organizations (FPOs) by the Government of India's Department of Agriculture, Co-operation & Farmers' Welfare."
1,3,"Government of India Ministry of Agriculture & Farmers' Welfare Department of Agriculture, Cooperation & Farmers' Welfare   Sl. No.  ITEMS  Page   1  Aims and Objectives of the Scheme  1  2  Farmer Producer Organization(FPO)  1  3  Broad Services and Activities to be undertaken by FPOs    1  4  ryS yget rtS Formation of FPO and Identification of Cluster  2  Area  5  National Project Management Agency (NPMA)  5  6  Implementing Agencies  7  7  Cluster- Based Business Organizations (CBBOs)  9  8  Budgetary Provisions  14  9  FPO Formation & Incubation Cost  including CBBOs  Cost  15  and Cost of Monitoring & Data Management/MIS Portal including Cost of NPMA  10  FPO Management Cost  16  11  Provision for Equity Grant  17  12   Credit Guarantee Facility  22  13  Training and Capacity Building for  Promotion of FPOs       29  14  Implementation  & Monitoring Mechanism  31  15  Evaluation of the Scheme  36  16  Integrated Portal  37      17  Miscellaneous  37  18  Annexure I to II  40","Formation And Promotion Of 10,000 Farmer Producer Organizations (Fpos) Operational Guidelines",,,,,152,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"The operational guidelines aim to form and promote 10,000 Farmer Producer Organizations (FPOs) with a focus on providing broad services and activities. The guidelines outline the formation of FPOs and the identification of clusters, along with the roles of the National Project Management Agency (NPMA) and implementing agencies. Budgetary provisions, FPO management costs, and provisions for equity grant and credit guarantee facility are also detailed. Additionally, the guidelines emphasize training, capacity building, implementation, and monitoring mechanisms, as well as the evaluation of the scheme. An integrated portal and annexures are also included in the guidelines."
2,4,"1.1  To provide holistic and broad based supportive ecosystem to form new 10,000  FPOs to facilitate development of vibrant and sustainable income oriented farming and for overall socio-economic development and wellbeing of agrarian communities.   1.2  To enhance productivity through efficient, cost-effective and sustainable resource  use and realize higher returns through better liquidity and market linkages for their produce and become sustainable through collective action.  1.3  To provide handholding and support to new FPOs up to 5 years from the year of  creation in all aspects of management of FPO, inputs, production, processing  and value addition, market linkages, credit linkages and use of technology etc.  1.4 To provide effective capacity building to FPOs to develop agricultureentrepreneurship skills to become economically viable and self-sustaining beyond the period of support from government.",1.0 Aims And Objectives Of The Scheme,,,,,129,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"The scheme aims to establish 10,000 FPOs to support income-oriented farming and the overall socio-economic development of agrarian communities. It also seeks to improve productivity, resource use efficiency, and market linkages for higher returns, while promoting sustainability through collective action. The scheme provides handholding and support to new FPOs for up to 5 years, covering various aspects such as management, production, processing, market linkages, credit, and technology utilization. Additionally, it focuses on capacity building to develop agricultural entrepreneurship skills, enabling FPOs to become economically viable and self-sustaining beyond government support."
3,5,"FPO is a generic name, which means and includes farmer- producers'  organization incorporated/ registered either under Part IXA of Companies Act or under Co-operative Societies Act of the concerned States and  formed for the purpose of leveraging collectives through economies of scale in production and marketing of agricultural and allied sector.  However, FPOs registered under Cooperative Societies Act of the State (including Mutually Aided or Self-reliant Cooperative Societies Act by whatever name it is called) for the purpose of this  Scheme, is to be insulated from all kinds of interference including in election process and day today management through suitable provisioning in their Memorandum of Association and Bye-laws with a view to encourage healthy growth and development of FPO.",2.0 Farmer Producer Organization (Fpo),,,,,119,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,The Farmer Producer Organization (FPO) is a collective formed under the Companies Act or Co-operative Societies Act to enhance economies of scale in agricultural production and marketing. FPOs registered under the Cooperative Societies Act are to be protected from interference in their management and election processes. This insulation is aimed at promoting the healthy growth and development of FPOs.
4,6,"The FPOs may provide and undertake following relevant major services and activities for their development as may be necessary:-   (i)  Supply quality production inputs like seed, fertilizer, pesticides and such other inputs at reasonably lower wholesale rates.  (ii)  Make available need based production and post-production machinery and equipment like cultivator, tiller, sprinkler set, combine harvester and such other machinery and equipment on custom hiring basis for members to reduce the per  unit production cost.  (iii)  Make available value addition like cleaning, assaying, sorting, grading, packing  and also farm level processing facilities at user charge basis on reasonably cheaper rate. Storage and transportation facilities may also be made available.  (iv) Undertake higher income generating activities like seed production, bee keeping,  mushroom cultivation etc.  (v)   Undertake aggregation of smaller lots of farmer-members' produce; add value to make them more marketable.  (vi) Facilitate market information about the produce for judicious decision in  production and marketing.  (vii) Facilitate logistics services such as storage, transportation, loading/un-loading  etc. on shared cost basis.   (viii)  Market the aggregated produce with better negotiation strength to the buyers  and in the marketing channels offering better and remunerative prices.     A Business Plan Linked   development in both medium and long-term",3.0 Broad Services And Activities To Be Undertaken By Fpos,,,,,199,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"FPOs can provide services like supplying production inputs at lower rates, offering machinery on a custom hiring basis, and providing value addition and processing facilities. They can also engage in income-generating activities like seed production and beekeeping, aggregate farmer-members' produce, and facilitate market information and logistics services. Additionally, FPOs can market the aggregated produce with better negotiation strength to secure better prices. These activities are part of a business plan for the development of FPOs in the medium and long term."
5,6,"4.1 Formation and promotion of FPO is based on Produce Cluster Area, which is  broadly defined as:  ""Produce Cluster aerA"" for purpose of FPO formation and management herein means a geographical area wherein agricultural and allied produce such as ltSytlthytS h produce of similar or of almost similar nature is grown / cultivated;  therefore, an FPO can be formed for leveraging economies of scale in production and marketing. This will also cover Organic Produce and Natural Farming.   4.2 Produce cluster area is to be identified with the input of District Level Monitoring    Committee (D-MC), State Level Consultative Committee (SLCC), other Ministries/Departments of Government of India and the States as well as with recommendations of Implementing Agencies with input from Cluster- Based Business Organization (CBBO) and suggestions of relevant Government of India Organizations.      4.3 CBBOs will undertake Feasibility Study in assigned clusters which will include the  following:  (i) **Diagnostic study including Baseline survey** to find out produce and socio- cultural similarity, existing gap and potential activity, interventions in terms of infrastructure, services, etc. required in the value chain of agricultural and horticultural produce including post-harvest management and marketing.",Will Be The Hallmark Of Strong Business Growth For Fpo. 4.0 Strategy For Formation Of Fpo And Identification Of Cluster Area,,,,,187,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"Formation and promotion of FPO is based on Produce Cluster Area, which is a geographical area where similar agricultural and allied produce is grown. This includes organic produce and natural farming, and aims to leverage economies of scale in production and marketing. The identification of produce cluster areas involves input from various committees, ministries, and organizations, as well as feasibility studies conducted by Cluster-Based Business Organizations (CBBOs). The feasibility studies include diagnostic studies and baseline surveys to identify produce and socio-cultural similarities, existing gaps, potential activities, and interventions needed in the value chain of agricultural and horticultural produce."
6,6,"Baseline survey should also identify current situation of farming, small, marginal and landless farmers for aggregation, to identify minimum geographical area for potential interventions etc.   (ii) **Prospective Business Plan** in order to establish a fit case for formation of an  economically sustainable FPO.  4.4 FPO with a minimum farmer-members' size of 300 shall be eligible under the  scheme in plains, while in North-Eastern and Hilly areas* (including such other  areas of UTs), size of 100 shall be eligible. Farmer-members cohesively located with almost same interest are to be mobilized to form a group of 15-20 Members, calling the group as   Farmer Interest Group (FIG) or Self Help Group (SHG), Farmers Club (FC), Joint Liability Group (JLG) , Rythu Mitra Group. Such 20 or more groups from a produce cluster area or a village/ cluster of neighboring villages based on certain commonalities are to be put together to form an FPO with a minimum farmer-members size of 300 to be eligible under this scheme in plains while in Hilly and North Eastern regions, 7-8 are to be put together to form an FPO with a minimum farmer-members size of 100.",Will Be The Hallmark Of Strong Business Growth For Fpo. 4.0 Strategy For Formation Of Fpo And Identification Of Cluster Area,,,,,189,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"The baseline survey should identify the current farming situation and the farmers for aggregation. A prospective business plan is needed to establish a sustainable FPO. In plains, an FPO with a minimum of 300 farmer-members is eligible, while in North-Eastern and Hilly areas, a size of 100 is eligible. Farmer-members with similar interests should be mobilized to form groups, and these groups should be put together to form an FPO with a minimum size of 300 in plains and 100 in Hilly and North Eastern regions."
7,6,"It may provide special focus to include small, marginal and women farmers/women SHGs, SC/ST farmers and other economically weaker categories etc. as members to make FPOs more effective and inclusive.    * - Hilly area means area at a height of 1000 metre or above MSL    4.5 However, efforts will be made to achieve   an average membership size of 500  farmers in plain areas and 200 farmers in Hilly and North-Eastern regions to make them sizable for economic sustainability and profitability. Based on experience/ need, Department of Agriculture, Cooperation and Farmers Welfare (DAC&FW) may revise the minimum membership norm per FPO, with the approval of Union Agriculture Minister.  Efforts will be made to form on an average two FPOs in at least each of potential 5,000 blocks out of existing about 7,000 blocks. However, efforts will be made to cover all blocks in the country. 4.6 The FPOs can federate at district level and State level based on their need of  processing, branding and marketing of produce/trading of commodities, which are essential for scaling up for survivability and growth in an era of competition.",Will Be The Hallmark Of Strong Business Growth For Fpo. 4.0 Strategy For Formation Of Fpo And Identification Of Cluster Area,,,,,183,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"The strategy aims to include small, marginal, women, SC/ST farmers, and economically weaker categories as FPO members for effectiveness and inclusivity. Efforts will be made to achieve an average membership size of 500 farmers in plain areas and 200 farmers in hilly and North-Eastern regions for economic sustainability. The goal is to form an average of two FPOs in at least each of the potential 5,000 blocks, with efforts to cover all blocks in the country. FPOs can federate at district and state levels for processing, branding, marketing of produce, and trading of commodities to scale up for survivability and growth. The Department of Agriculture may revise the minimum membership norm per FPO based on experience or need, with the approval of the Union Agriculture Minister."
8,6," Based on their need, success and product, they can federate at the National level also to promote packaging/branding and domestic/international trading of quality produce. Such Federation may avail advisory of National Project Management Agency (NPMA) as well as will be eligible for Credit Guarantee facility under the Scheme to strengthen their activities relating to setting up of infrastructure and supply chain for value addition and marketing.    4.7 While adopting cluster-based approach for produce or produce mix, formation of  FPOs will also focus on ""One District One Product"" approach for development of product specialization, in case the focused agriculture produce has been declared for that district, whereby FPOs will be encouraged for promoting processing,  branding, marketing and export of the product for better value realization. There may be more than one cluster for one product in one district and a cluster also may  extend beyond a district. However, to be an FPO economically sustainable and  diversify risk & enhance returns, the FPO will also have additional product and service mix; so that there are enough activities and engagements with the members throughout the year.",Will Be The Hallmark Of Strong Business Growth For Fpo. 4.0 Strategy For Formation Of Fpo And Identification Of Cluster Area,,,,,183,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"FPOs can federate at the national level to promote packaging/branding and trading of quality produce, with the option to seek advisory services from the National Project Management Agency and access credit guarantee facilities. The formation of FPOs will focus on a cluster-based approach and ""One District One Product"" strategy to develop product specialization and promote processing, branding, marketing, and export for better value realization. FPOs are encouraged to diversify their product and service mix to ensure economic sustainability and mitigate risk while enhancing returns. Additionally, they will be eligible for support to strengthen infrastructure, supply chain, value addition, and marketing activities. Multiple clusters for one product in a district and clusters extending beyond a district are also possible."
9,6,"Furthermore, FPOs can federate at district level, State level & National level for the product identified as per their requirement of processing,  branding and marketing.     4.8 Concerted efforts will be made to prioritize formation of FPOs in aspirational  districts through intense awareness programmes and making FPOs economically sustainable through adequate support, handholding, training & skill development. However, intensive efforts will be made to form & promote at least 15% of the  total targeted 10,000 FPOs (i.e. 1,500 FPOs) in next 5 years in aspirational districts with at least one FPO in each block of aspirational districts of the country for their development. In order to promote the forest and minor forest produce by the tribal communities, intensive efforts will be made by the implementing agencies to prioritize formation and promotion of FPOs in the notified tribal areas in the country.  The benefits of quality input, technology, credit and value addition and processing as well as better market access should reach the tribal community and North-East Region through the Scheme in co-operation with Tribal Affairs Ministry, DONER and North Eastern Council (NEC).",Will Be The Hallmark Of Strong Business Growth For Fpo. 4.0 Strategy For Formation Of Fpo And Identification Of Cluster Area,,,,,181,input/md/english/FPO_Scheme_Guidelines_FINAL_English.pdf,para,,"FPOs can federate at district, state, and national levels for processing, branding, and marketing, based on product requirements. The strategy aims to prioritize forming FPOs in aspirational districts through awareness programs and economic sustainability support. The goal is to establish and promote 1,500 FPOs in aspirational districts within the next 5 years, with at least one FPO in each block. Intensive efforts will focus on forming and promoting FPOs in notified tribal areas, particularly to benefit tribal communities and the North-East Region. The scheme will collaborate with Tribal Affairs Ministry, DONER, and North Eastern Council to provide quality input, technology, credit, value addition, and market access to these regions."
