,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,# Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,,12,input/md/english/NFSM12102018.pdf,heading,,
1,2,"Department of Agriculture, Cooperation and Farmers Welfare Ministry of Agriculture and Farmers Welfare Government of India Krishi Bhawan, New Delhi-110001  August, 2018",Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,22,input/md/english/NFSM12102018.pdf,para,,
2,3,## Table Of Contents,Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,4,input/md/english/NFSM12102018.pdf,heading,,
3,4,"| S.No.                                                                   | Contents                                               | Page            |
|-------------------------------------------------------------------------|--------------------------------------------------------|-----------------|
| No.                                                                     |                                                        |                 |
| Part –I (A) National Food Security Mission (NFSM) Foodgrain Crops       |                                                        |                 |
| 1                                                                       | Introduction                                           | 1               |
| 2                                                                       | Objectives                                             | 2               |
| 3                                                                       | Strategy                                               | 2               |
| 4                                                                       | Structure                                              | 3               |
| 4.1                                                                     | National Level                                         | 3               |
| 4.2                                                                     | State Level                                            | 5               |
| 4.3                                                                     | District Level                                         | 7               |
| 4.4                                                                     | Project Management Team                                | 8               |
| 5                                                                       | Role of Panchayati Raj Institution                     | 9               |
| 6                                                                       | Area of Operation of Security Mission                  | 9               |
| 7                                                                       | Mechanism of Fund Flow                                 | 10              |
| 8                                                                       | Procedure for Approval and Implementation              | 11              |
| 9                                                                       | Monitoring mechanism                                   | 12              |
| 10                                                                      | Reporting System                                       | 13              |
| 11                                                                      | Evaluation                                             | 13              |
| 12                                                                      | Criteria for Identification of Areas and Beneficiaries | 14              |
| 13                                                                      | Position of Ongoing Schemes                            | 14              |
| 14                                                                      | Interventions                                          | 15              |
| 14.1                                                                    | Accelerated Crop Production Programme (ACPP)           | 15              |
| 14.2                                                                    | Need                                                   | based           |
| Ameliorants,Bio Fertilizers, Plant Protection, Farm                     |                                                        |                 |
| Machines and Training)                                                  |                                                        |                 |
| 14.3                                                                    | Commercial Crop-based cropping system                  | 25              |
| 14.4                                                                    | Research support                                       | 25              |
| 14.5                                                                    | Other initiative                                       | 26              |
| 14.6                                                                    | Exposure visit to international organizations          | 29              |
| 14.7                                                                    | Awards                                                 | 30              |
| 14.8                                                                    | Miscellaneous Expenses                                 | 30              |
| Annexure-I (a) Basic qualification, experience and honorarium of        | 31                                                     |                 |
| Advisors/Consultants/ Technical Assistant                               |                                                        |                 |
| Annexure-I (b) Crop wise No. of Districts and No. of State and District | 36                                                     |                 |
| PMT in NFSM States                                                      |                                                        |                 |
| Annexure-I (c) Name of PMT Districts and states                         | 37                                                     |                 |
| Annexure-I (d) Duties                                                   | of                                                     | Consultants/TAs |
| national/State/district levels                                          |                                                        |                 |
| Annexure-I (e) NFSM model activity plan (MAP)                           | 47                                                     |                 |
| Annexure-II (a) Districts covered under NFSM-Rice                       | 50                                                     |                 |
| Annexure-II                                                             | Districts covered under NFSM-Wheat                     | 53              |
| (b)                                                                     |                                                        |                 |
| Annexure-II                                            | Districts covered under NFSM-Pulses                   | 55                                                  |
|--------------------------------------------------------|-------------------------------------------------------|-----------------------------------------------------|
| (c)                                                    |                                                       |                                                     |
| Annexure-II                                            | 65                                                    |                                                     |
| (d)                                                    |                                                       |                                                     |
| Districts covered under NFSM-Coarse Cereals (Maize &   |                                                       |                                                     |
| Barley)                                                |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Rice                             | 70                                                  |
| (a)                                                    |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Wheat                            | 72                                                  |
| (b)                                                    |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Pulses                           | 74                                                  |
| (c)                                                    |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Coarse Cereals                   | 77                                                  |
| (d)                                                    |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Rice         | 78                                                  |
| (a)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 81                                                    |                                                     |
| (a-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Rice                        |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Wheat        | 82                                                  |
| (b)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 84                                                    |                                                     |
| (b-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Wheat                       |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Pulses       | 85                                                  |
| (c)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 89                                                    |                                                     |
| (c-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Pulses                      |                                                       |                                                     |
| Annexure-IV                                            | 90                                                    |                                                     |
| (d)                                                    |                                                       |                                                     |
| Quarterly/Annual Progress Report of NFSM-Coarse        |                                                       |                                                     |
| Cereals                                                |                                                       |                                                     |
| Annexure-IV                                            | 91                                                    |                                                     |
| (d-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Coarse Cereals              |                                                       |                                                     |
| Annexure-V                                             | Summary of Pattern of Assistance                      | 92                                                  |
| Annexure-VI                                            | Cafeteria  of Interventions for Cluster Demonstration | 106                                                 |
| 110                                                    | Annexure-VII                                          | Component-wise financial provision for promotion of |
| FPOs and marketing support for value chain integration |                                                       |                                                     |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,384,input/md/english/NFSM12102018.pdf,table,,
4,5,## Part –I (B) National Food Security Mission (Nfsm) Nutri Cereals,Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,11,input/md/english/NFSM12102018.pdf,heading,,
5,6,"|   1  | Introduction                               |   112  |
|------|--------------------------------------------|--------|
|  2   | Objective                                  |   113  |
|  3   | Interventions/ Strategies Proposed         |   113  |
|  4   | Criteria for selection of Districts        |   114  |
|  5   | Demonstration                              |   115  |
|  5.1 | Size of cluster demonstration              |   115  |
|  5.2 | Cluster Front Line Demonstrations (CFLDs)  |   117  |
|  6   | Need based inputs                          |   119  |
|  7   | Incentives for seed Production             |   121  |
|  8   | Seed Minikits Programme of Nutri- Cereals  |   121  |
|  9   | Value chian integration of small producers |   122  |
| 9.1                                                | Farmer Producer Organizations                |   122  |
|----------------------------------------------------|----------------------------------------------|--------|
| 9.2                                                | Demonstration cum Training Centres           |   123  |
| 9.3                                                | Processing Cluster                           |   123  |
| 10                                                 | Research Support                             |   124  |
| 11                                                 | Flexi Interventions                          |   126  |
| 12                                                 | Awareness, Publicity and Promotion           |   127  |
| 13                                                 | Reporting System                             |   129  |
| Annexure-VIII                                      | 130                                          |        |
| (a)                                                |                                              |        |
| Name of Districts covered (identified) under Sub-  |                                              |        |
| mission on Nutri-Cereals (2018-19 and 2019-20)     |                                              |        |
| Annexure-VIII                                      | Cafeteria for Block demonstration of Millets |   136  |
| (b)                                                |                                              |        |
| Annexure-VIII                                      | Action Plan for NFSM-Nutri Cereals           |   137  |
| (c)                                                |                                              |        |
| Annexure-VIII                                      | 141                                          |        |
| (d)                                                |                                              |        |
| Quarterly/Annual Progress Report on NFSM-Nutri     |                                              |        |
| Cereals                                            |                                              |        |
| Annexure-VIII                                      | 144                                          |        |
| (d-i)                                              |                                              |        |
| Progress of component-wise SC/ST and women farmers |                                              |        |
| being benefitted from NFSM-Nutri Cereals           |                                              |        |
|                                                    |                                              |        |
|                                                    |                                              |        |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Part –I (B) National Food Security Mission (Nfsm) Nutri Cereals",,,,,153,input/md/english/NFSM12102018.pdf,table,,
6,7,## Table Of Contents,Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,4,input/md/english/NFSM12102018.pdf,heading,,
7,8,"| S.No.                                                          | Contents                                                | Page                                                     |
|----------------------------------------------------------------|---------------------------------------------------------|----------------------------------------------------------|
| No.                                                            |                                                         |                                                          |
| Part-II National Food Security Mission (NFSM) Commercial Crops |                                                         |                                                          |
| 1                                                              | Introduction                                            | 146                                                      |
| 2                                                              | Funding Pattern                                         | 147                                                      |
| 3                                                              | Implementing Agencies                                   | 147                                                      |
| 4                                                              | Role of Panchayati Raj Institution                      | 148                                                      |
| 5                                                              | Procedure for Approval and Implementation               | 148                                                      |
| 6                                                              | Monitoring Mechanism                                    | 149                                                      |
| 7                                                              | Evaluation                                              | 149                                                      |
| 8                                                              | Reporting                                               | 150                                                      |
| 9                                                              | Components of NFSM-Commercial Crops                     | 150                                                      |
| 10                                                             | Cotton based cropping system                            | 151                                                      |
| 10.1                                                           | Insecticide Resistance Management (IRM)                 | 151                                                      |
| 10.2                                                           | On Line Pest Monitoring and Advisory Services (OPMAS)   | 151                                                      |
| 10.3                                                           | Front Line Demonstration (FLD)                          | 152                                                      |
| 10.4                                                           | Trials on High Density Planting System (HDPS)           | 152                                                      |
| 10.5                                                           | National / State Level Training                         | 153                                                      |
| 10.6                                                           | Distribution of plant protection chemicals & bio-agents | 154                                                      |
| 11                                                             | Jute & Allied fibres Based Cropping Systems             | 155                                                      |
| 11.1                                                           | Jute seed production                                    | 155                                                      |
| 11.2                                                           | FLDs on alternate retting technologies                  | 156                                                      |
| 11.3                                                           | FLDs on production technology/intercropping             | 156                                                      |
| 11.4                                                           | National / State level training                         | 157                                                      |
| 157                                                            | 11.5                                                    | Distribution of certified seeds, nail weeder & microbial |
| consortium                                                     |                                                         |                                                          |
| 12                                                             | Surgancane Based Cropping System                        | 158                                                      |
| 158                                                            | 12.1                                                    | Demonstration on Intercropping & single bud chip         |
| technology with sugarcane                                      |                                                         |                                                          |
| 12.2                                                           | Assistance for breeder seed production                  | 158                                                      |
| 12.3                                                           | Tissue culture raised plantlets/seedlings               | 158                                                      |
| 12.4                                                           | National /State level training                          | 159                                                      |
| 12.5                                                           | Distribution of plant protection chemicals & bio-agents | 159                                                      |
| 160                                                            | Annexure-IX                                             | Commercial crop based cropping system linked with        |
| food crops                                                     |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Cotton                             | 161                                                      |
| (a)                                                            |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Jute & Allied Fibres               | 162                                                      |
| (b)                                                            |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Sugarcane                          | 163                                                      |
| (c)                                                            |                                                         |                                                          |
| 164                                                          | Annexure-XI                                          |   Quarterly progress report of Insecticides Resistance  |
|--------------------------------------------------------------|------------------------------------------------------|---------------------------------------------------------|
| Management (IRM) under Cotton                                |                                                      |                                                         |
| Annexure-XII                                                 | Annual progress report of IRM under Cotton           |                                                    165  |
| Annexure-XIII Quarterly progress of OPMAS under Cotton       | 166                                                  |                                                         |
| Annexure-XIV Annual progress report of OPMAS under Cotton    | 167                                                  |                                                         |
| Annexure-XV                                                  | Quarterly/Annual Progress Report of NFSM-Cotton      |                                                    168  |
| Annexure-XVI Quarterly/Annual Progress Report of NFSM-Jute & | 169                                                  |                                                         |
| Allied Fibres                                                |                                                      |                                                         |
| Annexure-                                                    | Quarterly / Annual Progress Report of NFSM-Sugarcane |                                                    170  |
| XVII                                                         |                                                      |                                                         |
| Annexure-                                                    | 171                                                  |                                                         |
| XVIII                                                        |                                                      |                                                         |
| Components and Pattern of Assistance under NFSM-             |                                                      |                                                         |
| Commercial Crops                                             |                                                      |                                                         |
|                                                              |                                                      |                                                         |
|                                                              |                                                      |                                                         |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,311,input/md/english/NFSM12102018.pdf,table,,
8,9,## Table Of Contents,Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),,,,,4,input/md/english/NFSM12102018.pdf,heading,,
9,10,"| S.No.                                                              | Contents                             | Page    |
|--------------------------------------------------------------------|--------------------------------------|---------|
| No.                                                                |                                      |         |
| Part - III National Food Security Mission (NFSM) Oilseeds & Oil    |                                      |         |
| Palm                                                               |                                      |         |
| 1                                                                  | Introduction                         | 175     |
| 2                                                                  | Objectives / Targets                 | 177     |
| 3                                                                  | Strategy                             | 177     |
| 4                                                                  | Structure                            | 178     |
| 4.1                                                                | National Level                       | 178     |
| 4.2                                                                | State Level                          | 179     |
| 4.3                                                                | District Level                       | 179     |
| 5                                                                  | Funding Pattern & Fund Flow          | 180     |
| 6                                                                  | Area of Operation                    | 183     |
| 7                                                                  | Monitoring, Reporting and Evaluation | 183     |
| 7.1                                                                | Monitoring or Evaluation             | 183     |
| 7.2                                                                | Reporting System                     | 184     |
| 7.3                                                                | Awards                               | 184     |
| 8                                                                  | Intervention                         | 185     |
| 8.1                                                                | NFSM-Oilseeds                        | 185     |
| 8.2                                                                | NFSM-Oil Palm                        | 198     |
| 8.3                                                                | NFSM-TBOs                            | 204     |
| Annexure-XIX Pattern of sharing and Rate of Assistance for various | 208                                  |         |
| interventions of NFSM-Oilseeds                                     |                                      |         |
| Annexure-XX  Format for submission of Annual Action Plan for NFSM  | 213                                  |         |
| (OS & OP))                                                         |                                      |         |
| Annexure-XXI  Format for submission of Monthly/Quarterly Progress  | 219                                  |         |
| Report (MRP/QRP) under NFSM-Oilseeds                               |                                      |         |
| Annexure-                                                          | 220                                  |         |
| XXII                                                               |                                      |         |
| Format for submission of Monthly/Quarterly Progress                |                                      |         |
| Report (MRP/QRP) of TRFA under NFSM-Oilseeds                       |                                      |         |
| Annexure-                                                          | 221                                  |         |
| XXIII                                                              |                                      |         |
| Pattern of sharing and Rate of Assistance for various              |                                      |         |
| interventions of NFSMM-Oil Palm w.e.f. 2018-19                     |                                      |         |
| Annexure-                                                          | 226                                  |         |
| XXIV                                                               |                                      |         |
| Pattern for submission of Annual Action Plan under                 |                                      |         |
| NFSM-Oil Palm                                                      |                                      |         |
| Annexure-                                                          | Format                               | for     |
| XXV                                                                | progress report NFSM-Oil Palm        |         |
| Annexure-                                                          | 231                                  |         |
| XXVI                                                               |                                      |         |
| Pattern of sharing and Rate of Assistance for various              |                                      |         |
| interventions of NFSM-TBOs w.e.f. 2018-19                          |                                      |         |
| Annexure-                                                          | 235                                  |         |
| XXVII                                                              |                                      |         |
| Format for submission of Annual Action Plan NFSM-                  |                                      |         |
| TBOs                                                               |                                      |         |
| Annexure-                                                          | 236                                  |         |
| XXVIII                                                             |                                      |         |
| Format for submission of monthly and quarterly                     |                                      |         |
| progress report NFSM-TBOs                                          |                                      |         |
|                                                                    |                                      |         |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,222,input/md/english/NFSM12102018.pdf,table,,
