,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,"Department of Agriculture, Cooperation and Farmers Welfare Ministry of Agriculture and Farmers Welfare Government of India Krishi Bhawan, New Delhi-110001  August, 2018|   1  | Introduction                               |   112  |
|------|--------------------------------------------|--------|
|  2   | Objective                                  |   113  |
|  3   | Interventions/ Strategies Proposed         |   113  |
|  4   | Criteria for selection of Districts        |   114  |
|  5   | Demonstration                              |   115  |
|  5.1 | Size of cluster demonstration              |   115  |
|  5.2 | Cluster Front Line Demonstrations (CFLDs)  |   117  |
|  6   | Need based inputs                          |   119  |
|  7   | Incentives for seed Production             |   121  |
|  8   | Seed Minikits Programme of Nutri- Cereals  |   121  |
|  9   | Value chian integration of small producers |   122  |
| 9.1                                                | Farmer Producer Organizations                |   122  |
|----------------------------------------------------|----------------------------------------------|--------|
| 9.2                                                | Demonstration cum Training Centres           |   123  |
| 9.3                                                | Processing Cluster                           |   123  |
| 10                                                 | Research Support                             |   124  |
| 11                                                 | Flexi Interventions                          |   126  |
| 12                                                 | Awareness, Publicity and Promotion           |   127  |
| 13                                                 | Reporting System                             |   129  |
| Annexure-VIII                                      | 130                                          |        |
| (a)                                                |                                              |        |
| Name of Districts covered (identified) under Sub-  |                                              |        |
| mission on Nutri-Cereals (2018-19 and 2019-20)     |                                              |        |
| Annexure-VIII                                      | Cafeteria for Block demonstration of Millets |   136  |
| (b)                                                |                                              |        |
| Annexure-VIII                                      | Action Plan for NFSM-Nutri Cereals           |   137  |
| (c)                                                |                                              |        |
| Annexure-VIII                                      | 141                                          |        |
| (d)                                                |                                              |        |
| Quarterly/Annual Progress Report on NFSM-Nutri     |                                              |        |
| Cereals                                            |                                              |        |
| Annexure-VIII                                      | 144                                          |        |
| (d-i)                                              |                                              |        |
| Progress of component-wise SC/ST and women farmers |                                              |        |
| being benefitted from NFSM-Nutri Cereals           |                                              |        |
|                                                    |                                              |        |
|                                                    |                                              |        |","Part –I (B) National Food Security Mission (Nfsm) Nutri Cereals,Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20)",,,,,175,input/md/english/NFSM12102018.pdf,para,,"This document outlines the operational guidelines for the National Food Security Mission (NFSM) Nutri Cereals for the period 2018-19 to 2019-20. It covers various aspects such as objectives, interventions/strategies proposed, criteria for selection of districts, demonstration, need-based inputs, incentives for seed production, and value chain integration of small producers. The guidelines also include provisions for research support, flexi interventions, awareness, publicity, promotion, and reporting system. Additionally, it provides details on the districts covered under the sub-mission on Nutri-Cereals, action plan, and progress reports. The document emphasizes the importance of promoting nutri-cereals and outlines the specific measures and strategies to achieve the mission's objectives."
1,2,"| S.No.                                                                   | Contents                                               | Page            |
|-------------------------------------------------------------------------|--------------------------------------------------------|-----------------|
| No.                                                                     |                                                        |                 |
| Part –I (A) National Food Security Mission (NFSM) Foodgrain Crops       |                                                        |                 |
| 1                                                                       | Introduction                                           | 1               |
| 2                                                                       | Objectives                                             | 2               |
| 3                                                                       | Strategy                                               | 2               |
| 4                                                                       | Structure                                              | 3               |
| 4.1                                                                     | National Level                                         | 3               |
| 4.2                                                                     | State Level                                            | 5               |
| 4.3                                                                     | District Level                                         | 7               |
| 4.4                                                                     | Project Management Team                                | 8               |
| 5                                                                       | Role of Panchayati Raj Institution                     | 9               |
| 6                                                                       | Area of Operation of Security Mission                  | 9               |
| 7                                                                       | Mechanism of Fund Flow                                 | 10              |
| 8                                                                       | Procedure for Approval and Implementation              | 11              |
| 9                                                                       | Monitoring mechanism                                   | 12              |
| 10                                                                      | Reporting System                                       | 13              |
| 11                                                                      | Evaluation                                             | 13              |
| 12                                                                      | Criteria for Identification of Areas and Beneficiaries | 14              |
| 13                                                                      | Position of Ongoing Schemes                            | 14              |
| 14                                                                      | Interventions                                          | 15              |
| 14.1                                                                    | Accelerated Crop Production Programme (ACPP)           | 15              |
| 14.2                                                                    | Need                                                   | based           |
| Ameliorants,Bio Fertilizers, Plant Protection, Farm                     |                                                        |                 |
| Machines and Training)                                                  |                                                        |                 |
| 14.3                                                                    | Commercial Crop-based cropping system                  | 25              |
| 14.4                                                                    | Research support                                       | 25              |
| 14.5                                                                    | Other initiative                                       | 26              |
| 14.6                                                                    | Exposure visit to international organizations          | 29              |
| 14.7                                                                    | Awards                                                 | 30              |
| 14.8                                                                    | Miscellaneous Expenses                                 | 30              |
| Annexure-I (a) Basic qualification, experience and honorarium of        | 31                                                     |                 |
| Advisors/Consultants/ Technical Assistant                               |                                                        |                 |
| Annexure-I (b) Crop wise No. of Districts and No. of State and District | 36                                                     |                 |
| PMT in NFSM States                                                      |                                                        |                 |
| Annexure-I (c) Name of PMT Districts and states                         | 37                                                     |                 |
| Annexure-I (d) Duties                                                   | of                                                     | Consultants/TAs |
| national/State/district levels                                          |                                                        |                 |
| Annexure-I (e) NFSM model activity plan (MAP)                           | 47                                                     |                 |
| Annexure-II (a) Districts covered under NFSM-Rice                       | 50                                                     |                 |
| Annexure-II                                                             | Districts covered under NFSM-Wheat                     | 53              |
| (b)                                                                     |                                                        |                 |
| Annexure-II                                            | Districts covered under NFSM-Pulses                   | 55                                                  |
|--------------------------------------------------------|-------------------------------------------------------|-----------------------------------------------------|
| (c)                                                    |                                                       |                                                     |
| Annexure-II                                            | 65                                                    |                                                     |
| (d)                                                    |                                                       |                                                     |
| Districts covered under NFSM-Coarse Cereals (Maize &   |                                                       |                                                     |
| Barley)                                                |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Rice                             | 70                                                  |
| (a)                                                    |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Wheat                            | 72                                                  |
| (b)                                                    |                                                       |                                                     |
| Annexure-III                                           | Action Plan for NFSM-Pulses                           | 74                                                  |
| (c)                                                    |                                                       |                                                     |
