chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
1,"Organic Farming : Technologies and Strategies (2016) : 129-147 Editor : B. Gangwar and N. K. Jat Today & Tomorrow's Printes and Publishers, New Delhi - 110 002, IndiaICAR-Indian Institute of Farming systems Research, Modipuram, Meerut (UP)- 250 110 In India organic farming has been practiced since thousands of years. The great Indian civilization thrived on organic farming and it has been practiced in Indian agriculture since the Vedic period. The traditional Indian agriculture was completely organic though it was not termed so. The techniques used for ploughing the field, sowing the seeds, use of fertilizers; everything had organic sensibility. Indian farmers have an inherent understanding of how to work closely with the nature, because only 30% of India's total cultivable area is covered with fertilizers because of assured irrigation and the balance 70% of arable land is mainly rainfed with little or zero use of fertilizer."," Sudhir Kumar3 And Krishna Kumar4,7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1,nan, R. S. Yadav2",,,,,148,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
2,"Currently Indian agriculture is passing through a very critical phase.On the one hand, it is bearing the responsibility of providing national as well as household food and nutritional security to its teeming millions in a scenario of plateau of genetic potential in all major crops and little improvement in productivity of vast tracts of rainfed/dryland areas constituting approximately 44.2% of net cultivated area.  Whereas, on the other hand, wide-spread occurrence of ill-effects of Green Revolution Technologies (GRTs) in all intensively cultivated irrigated areas, a backbone to national food security, is threatening the very sustainability of the agricultural production system and national food security. Thirdly, it has to share local as well as global responsibility to ensure environmental safety for human kind.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,122,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
3,"In this scenario, now the farmers are gradually shifting back to organic farming. India has some natural advantages over other countries regarding utility of organic farming. India has vast cultivated area which has remained free of chemical contamination. The large agricultural land is rainfed with zero or very less use of synthetic fertilizers thus can be converted to organic farming easily. Organic farming is useful for small farmers as it does not demand extensive inputs. The other reason behind the shift to organic farming is growing demand of organic food in domestic as well as international market.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,97,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
4,"Organic farming is an integrated system that benefits land, landholder and environment as well. It involves local human, natural resources and processes with respect to carrying capacity of ecology. By reducing dependence on chemical or synthetic inputs and creating more balanced nutrient and energy flow, it strengthens ecosystem resilience, increases food security and generates additional income for cultivators. Organic farming responds positively to all sustainable agriculture and rural development objectives and helps in retaining soil fertility to improve crop production and socio-economic conditions of the farmers.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,86,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
5,"After Green Revolution, the Upper Gangetic Plain Region (Bhabhar and Tarai, Western and Central Uttar Pradesh) could also readily emulate the Punjab's and Haryana's success story of rapid productivity increase. But as like other areas, this region (34 districts in Uttar Pradesh) had also reached its limits of crop productivity and irrigation.",Upper Gangetic Plains,,,,,52,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
6,"The Upper Gangetic Plains zone covers the four Agro-climatic regions of Uttar Pradesh viz.,Western Plain Zone,  Mid-western Plain Zone, South-western Semi-arid Zone and Central Plain Zone. The detailed coverage of districts and suitable crops to be grown are given in Table 1..",Agro-Climatic Regions Of Upper Gangetic Plains,,,,,42,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
7,"The Upper GangeticPlains region is among the larger and very thickly populated agro-climatic zones of India. It covers the central and western parts of Uttar Pradesh and Hardwar and Udham Singh Nagar districts of Uttarakhand. The climate of the region is characterized by hotsummer and cool winter. Annual rainfall ranges between700–1,200 mm, 70% of which is received during themonths of June to September. The rainfall covers about70% of the annual PET demand of 1,400 to 1,800 mmand leaves an annual water deficit of 500 to 700 mmduring February to June. It experiences dry periodfrom February to June with mean annual",Agro-Climatic Conditions,,,,,100,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
8,"| NARP Zone                         | Districts                              | Suitable Crops         | Potential crops for   |
|-----------------------------------|----------------------------------------|------------------------|-----------------------|
| organic farming                   |                                        |                        |                       |
| Western Plain Zone  Saharanpur,   | Rice, Wheat,                           | Basmati Rice, Wheat,   |                       |
| Muzaffarnagar,                    | Barley, Maize,                         | durum wheat, Barley    |                       |
| Meerut, Ghaziabad,                | Jowar, Bajra,                          | (malt), popcorn, sweet |                       |
| Buulandshahar                     | Rapeseed &Mustard, cron, Mustard, Urd, |                        |                       |
| Groundnut, Til, Urd, Moong, Peas, |                                        |                        |                       |
| Moong, Arhar,                     | Sugarcane, Potato                      |                        |                       |
| Gram, Peas, Lentil,               | (chipsona), okra                       |                        |                       |
| Sugarcane, Potato                 |                                        |                        |                       |
| Mid-western                       | Bijnor, Moradabad,                     | Wheat, Rice,           | Basmati Rice, Wheat,  |
| Plain Zone                        | Rampur, Bareilly,                      | Sugarcane, Bajra,      | durum wheat, Barley   |
| Pilibhit, Badaun                  | Maize, Jowar,                          | (malt), popcorn, sweet |                       |
| Groundnut,                        | cron, Mustard, Urd,                    |                        |                       |
| Rapeseed &                        | Moong, Peas,                           |                        |                       |
| mustard, Pulses                   | Sugarcane, Potato                      |                        |                       |
| (chipsona), okra                  |                                        |                        |                       |
| South-western                     | Aligarh, Etah,                         | Wheat, Rice,           | Basmati Rice, Wheat,  |
| Semi-arid Zone                    | Mainpuri, Mathura,                     | Maize, Barley,         | durum wheat, Barley   |
| Agra                              |                                        |                        |                       |
| Jowar, Bajra,                     | (malt), popcorn, sweet                 |                        |                       |
| pulses,til,                       | cron, Mustard, Urd,                    |                        |                       |
| groundnut, Castor,                | Moong, Peas,                           |                        |                       |
| Linseed, Rapeseed                 | Sugarcane, Potato                      |                        |                       |
| & Mustard,                        | (chipsona), okra                       |                        |                       |
| Sugarcane, Potato,                |                                        |                        |                       |
| Cotton, jute, Sanai               |                                        |                        |                       |
| Central Plain Zone                | Lakhimpur, Kheri,                      | Wheat Rice,            | Basmati Rice, Wheat,  |
| Sitapur, Hardoi,                  | Gram, Jowar,                           | durum wheat, Barley    |                       |
| Farrukhabad,                      | Bajra, barley,                         | (malt), Mustard        |                       |
| Etawah, Kanpur,                   | Arhar, Rapeseed                        |                        |                       |
| Kanpur Dehat,                     | & Mustard,                             |                        |                       |
| Unnao, Lucknow,                   | Groundnut                              |                        |                       |
| Rae Bareilly,                     |                                        |                        |                       |
| Fatehpur, Allahabad.              |                                        |                        |                       |",Agro-Climatic Conditions,,,,,174,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,
9,"temperature of more than 22°C. The areas adjacent to foothills arerelatively cooler and experiences thermic soiltemperature regime. The crop growing period rangesfrom 150–180 days in a year. A large part of the geographical area is cultivated and is well irrigated.Over 70% of the area is sown and nearly 65% of this is irrigated;canals, tube-wells and wells being the main source of irrigation. The ratio of surface to ground irrigation is about 1: 2. Agricultural labour and land productivity is high. The zone is characterized by semi-arid and sub-humid conditions.",Agro-Climatic Conditions,,,,,89,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
10,"This region falls in main Indo-Gangetic plains and is very fertile and can give very good yields with proper management. The land topography is of plain land, fairlylevelled to very gently sloping with slopes ranging from0–3%. Soils are deep sandy loamand water table is high. Agriculture is the main occupation of the rural people. The average productivity of food grains is higher than the national average. Many of the farmers take two crops year, and some with assured irrigation also take third crop during summer.",Agro-Climatic Conditions,,,,,85,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
