,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,1,"Organic Farming : Technologies and Strategies (2016) : 129-147 Editor : B. Gangwar and N. K. Jat Today & Tomorrow's Printes and Publishers, New Delhi - 110 002, IndiaBy reducing dependence on chemical or synthetic inputs and creating more balanced nutrient and energy flow, it strengthens ecosystem resilience, increases food security and generates additional income for cultivators. Organic farming responds positively to all sustainable agriculture and rural development objectives and helps in retaining soil fertility to improve crop production and socio-economic conditions of the farmers.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1,nan, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,86,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"Organic farming in the Upper Gangetic Plains of Uttar Pradesh focuses on reducing dependence on chemical inputs, creating balanced nutrient flow, and strengthening ecosystem resilience. This approach increases food security and generates additional income for cultivators while responding positively to sustainable agriculture and rural development objectives. Organic farming also plays a crucial role in retaining soil fertility, improving crop production, and enhancing the socio-economic conditions of farmers in the region."
1,1,"ICAR-Indian Institute of Farming systems Research, Modipuram, Meerut (UP)- 250 110 In India organic farming has been practiced since thousands of years. The great Indian civilization thrived on organic farming and it has been practiced in Indian agriculture since the Vedic period. The traditional Indian agriculture was completely organic though it was not termed so. The techniques used for ploughing the field, sowing the seeds, use of fertilizers; everything had organic sensibility. Indian farmers have an inherent understanding of how to work closely with the nature, because only 30% of India's total cultivable area is covered with fertilizers because of assured irrigation and the balance 70% of arable land is mainly rainfed with little or zero use of fertilizer. Currently Indian agriculture is passing through a very critical phase. On the one hand, it is bearing the responsibility of providing national as well as household food and nutritional security to its teeming millions in a scenario of plateau of genetic potential in all major crops and little improvement in productivity of vast tracts of rainfed/dryland areas constituting approximately 44.2% of net cultivated area.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,183,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"Organic farming has been a part of Indian agriculture since ancient times, with traditional techniques reflecting an organic sensibility. While only 30% of India's cultivable area uses fertilizers due to assured irrigation, the remaining 70% of arable land is mainly rainfed with minimal fertilizer use. Indian agriculture is currently facing challenges in terms of plateaued genetic potential in major crops and limited productivity in rainfed/dryland areas, which make up about 44.2% of the net cultivated area. The responsibility of providing national and household food security adds to the critical phase that Indian agriculture is going through. The Indian civilization has a rich history of thriving on organic farming, and the techniques used for ploughing, sowing, and fertilizing have always had organic sensibility."
2,1," Whereas, on the other hand, wide-spread occurrence of ill-effects of Green Revolution Technologies (GRTs) in all intensively cultivated irrigated areas, a backbone to national food security, is threatening the very sustainability of the agricultural production system and national food security. Thirdly, it has to share local as well as global responsibility to ensure environmental safety for human kind. In this scenario, now the farmers are gradually shifting back to organic farming. India has some natural advantages over other countries regarding utility of organic farming. India has vast cultivated area which has remained free of chemical contamination. The large agricultural land is rainfed with zero or very less use of synthetic fertilizers thus can be converted to organic farming easily. Organic farming is useful for small farmers as it does not demand extensive inputs. The other reason behind the shift to organic farming is growing demand of organic food in domestic as well as international market. Organic farming is an integrated system that benefits land, landholder and environment as well. It involves local human, natural resources and processes with respect to carrying capacity of ecology.","7. Upper Gangetic Plains: Uttar Pradesh N. K. Jat1, R. S. Yadav2, Sudhir Kumar3 And Krishna Kumar4",,,,,184,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The widespread ill-effects of Green Revolution Technologies in intensively cultivated areas are threatening agricultural sustainability and national food security. Farmers in the Upper Gangetic Plains of Uttar Pradesh are gradually shifting back to organic farming due to environmental concerns and the growing demand for organic food in domestic and international markets. India has natural advantages for organic farming, with vast cultivated areas free of chemical contamination and rainfed agricultural land with minimal use of synthetic fertilizers. Organic farming is particularly beneficial for small farmers as it requires fewer inputs and is an integrated system that benefits the land, landholders, and the environment. This shift towards organic farming reflects a shared responsibility to ensure environmental safety and sustainability for the well-being of humanity."
3,5,"After Green Revolution, the Upper Gangetic Plain Region (Bhabhar and Tarai, Western and Central Uttar Pradesh) could also readily emulate the Punjab's and Haryana's success story of rapid productivity increase. But as like other areas, this region (34 districts in Uttar Pradesh) had also reached its limits of crop productivity and irrigation.",Upper Gangetic Plains,,,,,52,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The Upper Gangetic Plain region in Uttar Pradesh, consisting of 34 districts, was unable to replicate the rapid productivity increase seen in Punjab and Haryana after the Green Revolution. Despite initial success, the region reached its limits in terms of crop productivity and irrigation, similar to other areas."
4,6,"The Upper Gangetic Plains zone covers the four Agro-climatic regions of Uttar Pradesh viz.,Western Plain Zone,  Mid-western Plain Zone, South-western Semi-arid Zone and Central Plain Zone. The detailed coverage of districts and suitable crops to be grown are given in Table 1..",Agro-Climatic Regions Of Upper Gangetic Plains,,,,,42,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"This zone covers four Agro-climatic regions of Uttar Pradesh. These regions are Western Plain Zone, Mid-western Plain Zone, South-western Semi-arid Zone and Central Plain Zone. Table 1 provides detailed coverage of districts and suitable crops to be grown in these regions."
5,7,"The Upper GangeticPlains region is among the larger and very thickly populated agro-climatic zones of India. It covers the central and western parts of Uttar Pradesh and Hardwar and Udham Singh Nagar districts of Uttarakhand. The climate of the region is characterized by hotsummer and cool winter. Annual rainfall ranges between700–1,200 mm, 70% of which is received during themonths of June to September. The rainfall covers about70% of the annual PET demand of 1,400 to 1,800 mmand leaves an annual water deficit of 500 to 700 mmduring February to June. It experiences dry periodfrom February to June with mean annual",Agro-Climatic Conditions,,,,,100,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The Upper Gangetic Plains region in India is densely populated and known for its hot summers and cool winters, with annual rainfall ranging between 700-1,200 mm. About 70% of the rainfall is received during the months of June to September, covering 70% of the annual PET demand. However, there is an annual water deficit of 500 to 700 mm from February to June. The region experiences a dry period from February to June and has a mean annual rainfall deficit."
6,8,"| NARP Zone                         | Districts                              | Suitable Crops         | Potential crops for   |
|-----------------------------------|----------------------------------------|------------------------|-----------------------|
| organic farming                   |                                        |                        |                       |
| Western Plain Zone  Saharanpur,   | Rice, Wheat,                           | Basmati Rice, Wheat,   |                       |
| Muzaffarnagar,                    | Barley, Maize,                         | durum wheat, Barley    |                       |
| Meerut, Ghaziabad,                | Jowar, Bajra,                          | (malt), popcorn, sweet |                       |
| Buulandshahar                     | Rapeseed &Mustard, cron, Mustard, Urd, |                        |                       |
| Groundnut, Til, Urd, Moong, Peas, |                                        |                        |                       |
| Moong, Arhar,                     | Sugarcane, Potato                      |                        |                       |
| Gram, Peas, Lentil,               | (chipsona), okra                       |                        |                       |
| Sugarcane, Potato                 |                                        |                        |                       |
| Mid-western                       | Bijnor, Moradabad,                     | Wheat, Rice,           | Basmati Rice, Wheat,  |
| Plain Zone                        | Rampur, Bareilly,                      | Sugarcane, Bajra,      | durum wheat, Barley   |
| Pilibhit, Badaun                  | Maize, Jowar,                          | (malt), popcorn, sweet |                       |
| Groundnut,                        | cron, Mustard, Urd,                    |                        |                       |
| Rapeseed &                        | Moong, Peas,                           |                        |                       |
| mustard, Pulses                   | Sugarcane, Potato                      |                        |                       |
| (chipsona), okra                  |                                        |                        |                       |
| South-western                     | Aligarh, Etah,                         | Wheat, Rice,           | Basmati Rice, Wheat,  |
| Semi-arid Zone                    | Mainpuri, Mathura,                     | Maize, Barley,         | durum wheat, Barley   |
| Agra                              |                                        |                        |                       |
| Jowar, Bajra,                     | (malt), popcorn, sweet                 |                        |                       |
| pulses,til,                       | cron, Mustard, Urd,                    |                        |                       |
| groundnut, Castor,                | Moong, Peas,                           |                        |                       |
| Linseed, Rapeseed                 | Sugarcane, Potato                      |                        |                       |
| & Mustard,                        | (chipsona), okra                       |                        |                       |
| Sugarcane, Potato,                |                                        |                        |                       |
| Cotton, jute, Sanai               |                                        |                        |                       |
| Central Plain Zone                | Lakhimpur, Kheri,                      | Wheat Rice,            | Basmati Rice, Wheat,  |
| Sitapur, Hardoi,                  | Gram, Jowar,                           | durum wheat, Barley    |                       |
| Farrukhabad,                      | Bajra, barley,                         | (malt), Mustard        |                       |
| Etawah, Kanpur,                   | Arhar, Rapeseed                        |                        |                       |
| Kanpur Dehat,                     | & Mustard,                             |                        |                       |
| Unnao, Lucknow,                   | Groundnut                              |                        |                       |
| Rae Bareilly,                     |                                        |                        |                       |
| Fatehpur, Allahabad.              |                                        |                        |                       |",Agro-Climatic Conditions,,,,,174,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,"The agro-climatic conditions in different zones of Uttar Pradesh support the cultivation of various crops. In the Western Plain Zone, suitable crops include rice, wheat, barley, maize, jowar, and bajra, among others. The Mid-western Plain Zone is conducive for crops such as wheat, rice, sugarcane, and maize. In the South-western Semi-arid Zone, crops like wheat, rice, maize, barley, and pulses thrive. The Central Plain Zone supports the cultivation of wheat, rice, gram, jowar, and barley, among others."
7,9,"temperature of more than 22°C. The areas adjacent to foothills arerelatively cooler and experiences thermic soiltemperature regime. The crop growing period rangesfrom 150–180 days in a year. A large part of the geographical area is cultivated and is well irrigated.Over 70% of the area is sown and nearly 65% of this is irrigated;canals, tube-wells and wells being the main source of irrigation. The ratio of surface to ground irrigation is about 1: 2. Agricultural labour and land productivity is high. The zone is characterized by semi-arid and sub-humid conditions. This region falls in main Indo-Gangetic plains and is very fertile and can give very good yields with proper management. The land topography is of plain land, fairlylevelled to very gently sloping with slopes ranging from0–3%. Soils are deep sandy loamand water table is high. Agriculture is the main occupation of the rural people. The average productivity of food grains is higher than the national average. Many of the farmers take two crops year, and some with assured irrigation also take third crop during summer.",Agro-Climatic Conditions,,,,,174,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The agro-climatic conditions in the region are characterized by temperatures above 22°C and a crop growing period of 150-180 days per year. Over 70% of the area is cultivated and well irrigated, with canals, tube-wells, and wells being the main sources of irrigation. The region is known for its high agricultural labor and land productivity, falling within the main Indo-Gangetic plains and featuring fertile land with a fairly level topography. The soil is deep sandy loam with a high water table, and the average productivity of food grains exceeds the national average. Additionally, many farmers are able to cultivate two crops per year, with some utilizing assured irrigation for a third crop during the summer."
8,10,"The soils in this region are generally deep and loamy developed on alluvium soil. The dominant soil scapes,representing the northern plains, constitute gently to verygently sloping lands. In some area the soil is highly calcareous. The soils in general are neutral in reaction and have moderate clay and low organic carbon content. Traditionally rain fed and irrigated agriculture iscommon. The main crops grown are rice, maize, pigeonpea, sorghum, pearl millet, moong beans during *Kharif* and wheat, Bengal gram, green peas, rapeseed -mustard and lentil during *Rabi* season. Sugarcane is themain cash crop. Rice–wheat cropping system is most predominant. The major cropping systems of the region are rice-wheat, sugarcane/ratoonwheat, pearl millet-wheat, maize-wheat, rice-gram, rice-mustard, Fallowwheat, sorghum-wheat etc. Amongst the fruit crops, mango and guava,and amongst the vegetable crops potato, onion, brinjal, tomato, cauliflower and cabbage are important.",Important Soil Types And Crops,,,,,136,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The region has deep and loamy soils developed on alluvium, with gently sloping lands and some highly calcareous areas. The soils are neutral in reaction with moderate clay and low organic carbon content. Both rain fed and irrigated agriculture are common, with rice, maize, pigeonpea, and sorghum among the main crops during the *Kharif* season. In the *Rabi* season, wheat, Bengal gram, green peas, rapeseed-mustard, and lentil are the primary crops, with sugarcane as the main cash crop. The predominant cropping system is rice-wheat, with other systems including sugarcane/ratoonwheat, pearl millet-wheat, and maize-wheat. Additionally, mango, guava, potato, onion, brinjal, tomato, cauliflower, and cabbage are important fruit and vegetable crops in the region."
9,11,"The organic research programme was initiated during 2004-05 under 'Network Project on Organic Farming' centre at Modipurm, Uttar Pradesh under the aegis of ICAR- Indian Institute of Farming System Research, Modipuram. The results of the experiments conducted under the aforesaid programme are briefly explained here under-",Experimental Evidences,,,,,46,input/md/english/UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"Experimental Evidences: The organic research programme began in 2004-05 at Modipurm, Uttar Pradesh under ICAR- Indian Institute of Farming System Research. The results of the experiments conducted are briefly explained."
