chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
1,"Office at 0: 38, Tel / Fax: 2239247, SH-5.: 2243256 AH. What is the address of the 0 level building & office room number 69-70 6 5.. 0 of the main building]? 60 223 Date: 49.06.2023: 2243256 AH. What is the address of the 0 level building & office room number 69-70 6 5.. 0 of the main building]? 60 223 Date: 49.06.2023",nan,"0: ३८ कार्यालय, दूरभाष /फेक्स : 2239247 ,ष्5 के जै न सी.एच.",,,,58,input/md/hindi\ManjushaBookPart_I.pdf,para,,
2,"Department of Agriculture, Agricultural Education and Agricultural Research, Uttar Pradesh, to accelerate the economy of Uttar Pradesh, to increase the income from agriculture, only by strengthening the technique of agricultural dissemination and by spreading new beneficial information to the farmer brothers, they can be connected to the stream of development. A new edition of ""Krishi Gyan Manjusha"" is being published with the aim of compiling the latest agricultural techniques and making the information accessible to all the farmers of the state. The book covers all the topics based on the importance of innovative geographical indications in agriculture along with traditional agriculture, Protection of Plant Varieties and Farmers' Rights Act 2004, biofortified varieties developed to overcome malnutrition and cultivation of millets.",Surya Pratap Shahi Minister,"कृषि, कृषि शिक्षा एवं कृषि अनुसंधान विभाग उत्तर प्रदेश प्रदेश की अर्थव्यवस्था को गति देने के लिए कृषि से होनवाली आय में वृद्धि केलिए कृषि प्रसार की तकनीक को सुदृढ़ करके एवं नवीन लाभकारी जानकारी किसान भाइयों तक पहुँचाकर ही उन्हें विकास की धारा से जोड़ा जा सकता है। नवीनतम कृषि तकनीकों को संकलित कर, प्रदेश केसभी कृषकों तक सुलभता से जानकारी उपलब्ध कराने के उद्देश्य से ""कृषि ज्ञान मंजूषा"" का नवीन संस्करण का प्रकाशन किया जा रहा है। इस पुस्तक में पारम्परिक कृषि के साथ नवोन्मेषी भौगोलिक संकेतों का कृषि में महत्व, पौधों की किस्मों और किसानों के अधिकारों का संरक्षण अधिनियम 2004, कुपोषण से निजात पाने के लिए विकसित जैव संवर्धित (बायोफोर्टिफाइड) किसमें एवं श्री अन्न (मिलेट्स) की खेती पर आधारित सभी विषयों को समावेशित किया गयाहै",,,सूर्य प्रताप शाही मंत्री,129,input/md/hindi\ManjushaBookPart_I.pdf,para,,
3,"The ""Krishi Gyan Manjusha"" will prove to be a powerful medium for the officers of the Agriculture Department to communicate new technology to the employees and farmers. The farmer brothers will benefit by applying the new technology on their farms. The tireless efforts of Dr.Suresh Singh Yadav, Assistant Director, Bureau of Extension Education and Training and Shri Nilesh Chaurasia, Joint Director of Agriculture (Bureau) in preparing the handbook and their leadership in selecting and preparing the content of the syllabus of part-4 and part-2 of Krishi Gyan Manjusha were commendable.",Surya Pratap Shahi Minister,"""कृषि ज्ञान मंजूषा"" द्वारा कृषि विभाग के अधिकारियों» कर्मचारियों तथा कृषकों को नवीन तकनीकी पहुँचाने काएक सशक्त माध्यम सिद्ध होगा। किसान भाई नवीन तकनीकी को अपने खेतों पर उतार कर लाभान्वित होंगे। कृषि ज्ञान मंजूषा केभाग-4 व भाग-2 के पाठ्यक्रम का चयन एवं उनकी सामग्री तैयार करने में प्रसार शिक्षा एवं प्रशिक्षण ब्यूरो केसहायक निदेशक, डॉ0 सुरेश सिंह यादव व श्री नीलेश चौरसिया के अथक प्रयास एवं पुस्तिका को तैयार कराने व नेतृत्व प्रदान करने में श्री राजेन्द्र कुमार सिंह, संयुकत कृषि निदेशक (ब्यूरो) की भूमिका सराहनीय रही",,,सूर्य प्रताप शाही मंत्री,88,input/md/hindi\ManjushaBookPart_I.pdf,para,,
4,"Dr. Jitendra Kumar Tomar, Managing Director",Surya Pratap Shahi Minister,"| डॉ० जितेन्द्र कुमार तोमर, प्रबन्ध",,,सूर्य प्रताप शाही मंत्री,5,input/md/hindi\ManjushaBookPart_I.pdf,table,,
5,"The efforts of the Director, UP Seed Development Corporation are particularly noteworthy.I am sure that the topics covered in this book will be beneficial for the farmers of the entire state and all the people associated with the agriculture sector and will help in establishing the resolve of doubling the income in the agriculture sector and establishing agriculture as an enterprise.",Surya Pratap Shahi Minister,"निदेशक, उ0प्र0 बीज विकास निगम का प्रयास विशेष रूप से उल्लेखनीय है",,,सूर्य प्रताप शाही मंत्री,57,input/md/hindi\ManjushaBookPart_I.pdf,para,,
6,"I congratulate all the officers / ""staff"" involved in the preparation of ""Krishi Gyan Manjusha"" and wish it all the best for publication. Baldev Singh Aulakh Department of Agriculture, Agriculture Education and Messages Department of Agricultural Research, Uttar Pradesh It is a matter of great happiness that with a view to strengthen the agricultural extension and training program and to make the nutrition of millets accessible to the masses through the International Year of Millets 2023, a new edition of ""Krishi Gyan Manjusha"" beneficial for agricultural extension officers and farmers is being published by the Department of Agriculture with a view to include them in agriculture.",Surya Pratap Shahi Minister,"मैं ""कृषि ज्ञान मंजूषा"" को तैयार करने में जुड़े सभी अधिकारियों /» कर्मचारियों कीसराहना करते हुए प्रकाशन हेतु शुभकामनाएं देता हूँ | २६<6२४लथ (सूर्य प्रताप शाही मंत्री, कृषि, कृषि शिक्षा एवं कृषि अनुसंधान विभाग उत्तर प्रदेश उत्तर प्रदेश सचिवालय छ २४ 8, नवीन भवन, लखनऊ ही * 2 * दूरभाष : 0522--2238474 (का.) व्व एत्तर प्रद> सिंह दिनांक : 49.06.2023 बलदेव सिंह औलख कृषि, कृषि शिक्षा एवं सन्देश कृषि अनुसंधान विभाग, उत्तर प्रदेश यह बड़े हर्ष का विषय है कि कृषि प्रसार एवं प्रशिक्षण कार्यक्रम के सुदृढ़ीकरण एवं अन्तर्राष्ट्रीय मिलेट्स वर्ष 2023 के माध्यम से श्री अन्न (मिलेट्स) की पोषफता को जनमानस तक पहुँचाने के दृष्टिगत कृषि में सम्मिलित करने के उद्देश्य से कृषि विभाग द्वारा कृषि प्रसार अधिकारियों तथा कृषकों हेतु लाभदायक ""कृषि ज्ञान मंजूषा"" के नवीन संस्करण का प्रकाशन किया जा रहा है",,,सूर्य प्रताप शाही मंत्री,135,input/md/hindi\ManjushaBookPart_I.pdf,para,,
7,"In the ""Krishi Gyan Manjusha,"" commendable work has been done by the staff of Bureau of Extension Education and Training under the direction of Shri Rajendra Kumar Singh, Joint Director of Agriculture (Bureau) in selecting and compiling literature on traditional agriculture as well as innovative agriculture and technology, cultivation of Shri Anna (Millets) as well as animal husbandry, forestry, horticulture, fisheries, etc. I am sure that the topics covered in this book will prove to be beneficial and useful for all the people associated with the agriculture sector and the return of Shri Anna to the field with the use of new technology in the agriculture sector will encourage the people to return to the plate of healthy Shri Anna (Millets).",Surya Pratap Shahi Minister,"""कृषि ज्ञान मंजूषा"" में पारम्परिक कृषि केसाथ-साथ नवोन्मेषी कृषि एवं तकनीक, श्री अन्न (मिलेट्स) की खेती के साथ-साथ पशुपालन, वानिकी, उद्यान, मत्स्यपालन आदि विषय का चयन एवं साहित्य संकलन करने में प्रसार शिक्षा एवं प्रशिक्षण ब्यूरो के कर्मचारियों द्वारा श्री राजेन्द्र कमार सिंह, संयुक्त कृषि निदेशक (ब्यूरो) के निर्देशन में सराहनीय कार्य किया गया है। मुझे विश्वास है कि इस पुस्तक में सम्मिलित विषय, कृषि क्षेत्र सेजुड़े समस्त लोगों के लिए लाभकारी एवं उपयोगी सिद्ध होंगे एवं कृषि क्षेत्र मेंनयी तकनीक के प्रयोग के साथ श्री अन्न की खेत में वापसी से जनमानस को सवास्थ्यवर्धक श्री अन्न (मिलेट्स) की थाली में वापसी को प्रोत्साहन मिलेगा",,,सूर्य प्रताप शाही मंत्री,105,input/md/hindi\ManjushaBookPart_I.pdf,para,,
8,"I convey my best wishes for its publication and appreciate the efforts of the officials and staff involved in its preparation. He (He47.Ministry of Agriculture & Farmers Welfare) Minister of State in the Ministry of Agriculture, Agriculture Education & Farmers Welfare, Government of Uttar Pradesh. Letter No.:..............",Surya Pratap Shahi Minister,मैं इसके प्रकाशन के लिए अपनी शुभकामनाएं देते हुए इसे तैयार करने में लगे अधिकारियों » कर्मचारियों के प्रयास की सराहनाकरता हूँ । हे (हि47.,,,सूर्य प्रताप शाही मंत्री,47,input/md/hindi\ManjushaBookPart_I.pdf,para,,
9,"6. 28 Agriculture Marketing, Agriculture Foreign Trade 18 and Export Promotion Department, Government of Uttar Pradesh.25, Naveen Bhawan, Secretariat, Lucknow.25, Naveen Bhawan, Secretariat, Lucknow.25, Naveen Bhawan, Secretariat, Lucknow.25, Naveen Bhawan, Secretariat, Lucknow.",Surya Pratap Shahi Minister,"६ .- २८ कृषि विपणन, कृषि विदेश व्यापार १८ एवं निर्यात प्रोत्साहन विभाग, उत्तर प्रदेश शासन।",,,सूर्य प्रताप शाही मंत्री,44,input/md/hindi\ManjushaBookPart_I.pdf,para,,
10,": 0522-223767 Fax: 0522-2235488 D. Tag Devesh Chaturvedi. : [055 [0.99] 7 (80979.007 Japanese Secretary of Agriculture, Dated: 20.06.2023 The backbone of the state's economy is agriculture and the agricultural sector. To ensure food security to the growing population, it is necessary that we increase agricultural production.",Surya Pratap Shahi Minister,": 0522--223767 फैक्स : 0522-2235488 ्ड. देवेश चतुर्वेदी दागाव। : [05५[0.99॥7(80979.007 जपपुष्य सचिव, कृषि, दिनांक : 20.06.2023 प्रदेश की अर्थव्यवस्था की रीढ़ कृषि एवं कृषि क्षेत्र हैं| बढ़ती आबादी को खाद्यान्न व्यवस्था सुनिश्चित करने के लिए आवश्यक है कि हम कृषि उत्पादन बढ़ायें",,,सूर्य प्रताप शाही मंत्री,43,input/md/hindi\ManjushaBookPart_I.pdf,para,,
