chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
1,Shupalan Ahdidi (bajwali animal husbandry marshal) 1034|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से|4से,nan,शुपाल्न आहदिडि (बजव्ल्ि पशुपालन मार्णदर्शिक्छि पशुपालन मार्शदर्शिक् १०३४,,,,40,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
2,"H3446 has 23.98 _ "": K5.K9K9K9K9K9K9K9K9K9K9K9K9K9K9K9K9K9",nan,"ह3446 की 23.९८ _"" हैः के 5.",,,,41,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
3,"- Yes. (Ndj Pal Hajj of K 582, then 18 Chhat Kal, Pk (250 7.माख्या. 9: 07 2 Krishi Vigyan Kendra (Indian Institute of Semantic Research) Bejawan, Sant 2 Vidyadesh Nasha 2-22430 & (Th.)माख्या. 9: 07 2 Krishi Vigyan Kendra (Indian Institute of Semantic Research) Bejawan, Sant 2 Vidyadesh Nasha 2-22430 & (Th.)",nan,"-ऊ हे । (के 5८2 की न्डज पल हज, तब १८ छत कल, पी कि (2५0 ७ ॥.",,,,50,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
4,"Indian Institute of Semantic Research [5] Nal. P.B.Copyright | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | Publication | | Year | | April, 2043 | | Address | | Agriculture | | Science | | Centre | | (Indian Institute of Vegetable Research) | | Bejawan | | Sant Ravidas Nagar - 224304 | (U.F.P.) | | Email | | Zara | Chhashragawan | 00 | | Publisher | | Dr. Prakash, S. Naik, Director, Indian Institute of Vegetable Research, P.B. Jakhini (Shahanshahpur) Varanasi-224305 (UP) Printing Nirmal Vijay Printers, New Delhi-440028 Phone: 45576780, Mobile: 9844053647.",,भारतीय शब्जी अनुशंधान संस्थान [5॥ नल। पी.बी.,,,,115,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
8,"04, P.O. Jakstrigi (Shahanshahpu9) Saka Vabashanshi-22305 (U.P.) Bhara Dr. Prakash Ash. Agriculture and animal husbandry are of particular importance to the Indian economy. The 28-30 percentage contribution of animal husbandry to the gross domestic agricultural product is commendable, with milk being the product that contributes the most. India has 45 per cent of the world's cows and 55 per cent of its buffaloes, and 53 per cent of the country's milk production comes from buffaloes and 43 per cent from cows. Our country ranks first in the world by producing about 424.8 million tonnes of milk which is an example and Uttar Pradesh is a leader in this. This achievement is the result of research and promotion in various aspects of animal husbandry such as cattle breeding, husbandry, health and habitat management, etc. But even today the milk production of our animals is very low compared to some other countries and there is a lot of scope for improvement in this direction. Small, landless, and marginal farmers with limited opportunities to grow crops and rear large livestock, such as sheep and goats, pigs, and poultry, are the means of subsistence and the basis for combating poverty.",,"04, पो.आ. जक्स्त्रिगी (शहंशाहपु९) शक वबाशणशी-22305 (उ0प्र0) भर डा. प्रकाश एश. नार्डक निर्देशक भारतीय अर्थव्यवस्था में कृषि एवं पशुपालन का विशेष महत्व है। सकल घरेलू कृषि उत्पाद में पशुपालन का 28-30 प्रतिशत का योगदान सराहनीय है जिसमें दुग्ध एक ऐसा उत्पाद है जिसका योगदान सर्वाधिक है। भारत में विश्व की कुल संख्या का 45 प्रतिशत गायें एवं 55 प्रतिशत भेंसें हैऔर देश के कुल दुग्ध उत्पादन का 53 प्रतिशत भैंसों व 43 प्रतिशत गायों से प्राप्त होता है। हमारा देश लगभग 424.8 मिलियन टन दुग्ध उत्पादन करके विश्व में प्रथम स्थान पर है जो कि एक मिसाल है और उत्तर प्रदेश इसमें अग्रणी है। यह उपलब्धि पशुपालन से जुड़े विभिनन पहलुओं जैसे मवेशियों की नस्ल, पालन-पोषण, स्वास्थ्य एवं आवास प्रबंधन इत्यादि में किए गये अनुसंधान एवं उसके प्रचार-प्रसार का परिणाम है। लेकिन आज भी कुछ अन्य देशों की तुलना में हमारे पशुओं का दुग्ध उत्पादन अत्यन्त कम है और इस दिशा में सुधार की बहुत संभावनायें है। छोटे, भूमिहीन तथा सीमान्त किसान जिनके पास फसल उगाने एवं बड़े पशु पालने के अवसर सीमित है छोटे पशुओं जैसे भेड़-बकरियाँ, सूकर एवं मुर्गीपालन रोजी-रोटी का साधन व गरीबी से निपटने का आधार है। विश्व में हमारा स्थान बकरियों की संख्या में दूसरा, भेड़ों की संख्या में तीसरा एवं कुक्कूट संख्या में सातवाँ है। कम खर्च में, कम स्थान एवं कम मेहनत से ज्यादा मुनाफा कमाने के लिए छोटे पशुओं का अहम योगदान है। अगर इनसे सम्बंधित उपलब्ध नवीनतम तकनीकियों का व्यापक प्रचार-प्रसार किया जाय तो निःसंदेह ये छोटे पशु गरीबों के आर्थिक विकास में महत्वपूर्ण भूमिका निभा सकते हैं। इस प्रकाशन में ग्रामीण परिवेश में पशुपालन से जुड़े विभिनन समस्याओं का समाधान सरल भाषा में करने का प्रयास किया गया है। मुझे विश्वास है कि ""पशुपालन मार्गदर्शिका"" नामक प्रकाशन हमारे कृषक बंधुओं एवं इस रोजगार से जुड़े सभी लोगों के लिए विशेष उपयोगी सिद्ध होगा। इस सम्बन्ध में कृषि विज्ञान केन्द्र बेजवॉ, संत रविदास नगर के वैज्ञानिकों एवं उनके सहयोगियों का प्रयास सराहनीय है। 5 उका हक वि पह (प्रकाश एस. नाईक) निदेशक",,,,196,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
8,"We rank second in the world in the number of goats, third in the number of sheep, and seventh in the number of chickens. Small animals contribute significantly to making more profit with less expense, less space, and less effort. These small animals can undoubtedly play an important role in the economic development of the poor if the latest technologies available in this regard are widely disseminated. This publication attempts to address in simple language the various problems associated with animal husbandry in rural settings. I am sure that the publication titled ""Animal Husbandry Guide"" will be of great use to our farming community and all those associated with this profession. In this regard, the efforts of the scientists of Krishi Vigyan Kendra, Bezwao, Sant Ravidas Nagar and their colleagues are commendable. 5 Uka Haq v Pah (Prakash S. Naik) Director",,"04, पो.आ. जक्स्त्रिगी (शहंशाहपु९) शक वबाशणशी-22305 (उ0प्र0) भर डा. प्रकाश एश. नार्डक निर्देशक भारतीय अर्थव्यवस्था में कृषि एवं पशुपालन का विशेष महत्व है। सकल घरेलू कृषि उत्पाद में पशुपालन का 28-30 प्रतिशत का योगदान सराहनीय है जिसमें दुग्ध एक ऐसा उत्पाद है जिसका योगदान सर्वाधिक है। भारत में विश्व की कुल संख्या का 45 प्रतिशत गायें एवं 55 प्रतिशत भेंसें हैऔर देश के कुल दुग्ध उत्पादन का 53 प्रतिशत भैंसों व 43 प्रतिशत गायों से प्राप्त होता है। हमारा देश लगभग 424.8 मिलियन टन दुग्ध उत्पादन करके विश्व में प्रथम स्थान पर है जो कि एक मिसाल है और उत्तर प्रदेश इसमें अग्रणी है। यह उपलब्धि पशुपालन से जुड़े विभिनन पहलुओं जैसे मवेशियों की नस्ल, पालन-पोषण, स्वास्थ्य एवं आवास प्रबंधन इत्यादि में किए गये अनुसंधान एवं उसके प्रचार-प्रसार का परिणाम है। लेकिन आज भी कुछ अन्य देशों की तुलना में हमारे पशुओं का दुग्ध उत्पादन अत्यन्त कम है और इस दिशा में सुधार की बहुत संभावनायें है। छोटे, भूमिहीन तथा सीमान्त किसान जिनके पास फसल उगाने एवं बड़े पशु पालने के अवसर सीमित है छोटे पशुओं जैसे भेड़-बकरियाँ, सूकर एवं मुर्गीपालन रोजी-रोटी का साधन व गरीबी से निपटने का आधार है। विश्व में हमारा स्थान बकरियों की संख्या में दूसरा, भेड़ों की संख्या में तीसरा एवं कुक्कूट संख्या में सातवाँ है। कम खर्च में, कम स्थान एवं कम मेहनत से ज्यादा मुनाफा कमाने के लिए छोटे पशुओं का अहम योगदान है। अगर इनसे सम्बंधित उपलब्ध नवीनतम तकनीकियों का व्यापक प्रचार-प्रसार किया जाय तो निःसंदेह ये छोटे पशु गरीबों के आर्थिक विकास में महत्वपूर्ण भूमिका निभा सकते हैं। इस प्रकाशन में ग्रामीण परिवेश में पशुपालन से जुड़े विभिनन समस्याओं का समाधान सरल भाषा में करने का प्रयास किया गया है। मुझे विश्वास है कि ""पशुपालन मार्गदर्शिका"" नामक प्रकाशन हमारे कृषक बंधुओं एवं इस रोजगार से जुड़े सभी लोगों के लिए विशेष उपयोगी सिद्ध होगा। इस सम्बन्ध में कृषि विज्ञान केन्द्र बेजवॉ, संत रविदास नगर के वैज्ञानिकों एवं उनके सहयोगियों का प्रयास सराहनीय है। 5 उका हक वि पह (प्रकाश एस. नाईक) निदेशक",,,,141,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
9,"Animal husbandry occupies a very important place in the Indian economy. About 70 per cent of the population is dependent on agriculture and animal husbandry. Small and marginal farmers own 30% of the total agricultural land. Out of this, 70% of the farmers are engaged in animal husbandry, which accounts for 80% of the total livestock. Clearly, much of the country's livestock is owned by the economically weaker sections. About 49.94 crores of cows, 40.53 crores of buffaloes, 44.55 crores of goats, 764 crores of sheep, 44 crores of pigs and 68.88 crores of poultry are reared in India. Our country ranks first in the world with milk production 424.8 million tons, third in the world in egg production with 53200 million, and seventh in meat production. This is the reason that in the agriculture sector, where we are getting an annual growth rate of only 4 - 2%, from animal husbandry it is 4 - 5%. Thus, animal husbandry has immense potential to provide employment to villagers and uplift their social and economic status.",hope,"भारतीय अर्थव्यवस्था में पशुपालन का बहुत ही महत्वपूर्ण स्थान है। देश की लगभग 70 प्रतिशत आबादी कृषि एवं पशुपालन पर निर्भर है। छोटे व सीमांत किसानों के पास कुल कृषि भूमि की 30 प्रतिशत जोत है। इसमें 70 प्रतिशत कृषक पशुपालन व्यवसाय से जुड़े हैजिनके पास कुल पशुधन का 80 प्रतिशत भाग मौजूद है। स्पष्ट है कि देश का अधिकांश पशुधन, आर्थिक रूप से निर्बल वर्ग के पास है। भारत में लगभग 49.94 करोड़ गाय, 40.53 करोड़ भैंस, 44.55 करोड़ बकरी, 7.64 करोड़ भेड़, 44 करोड़ सूकर तथा 68.88 करोड़ मुर्गी कापालन किया जा रहा है। हमारा देश 424.8 मिलियन टन दुग्ध उत्पादन के साथ विश्व में प्रथम, अण्डा उत्पादन में 53200 करोड़ के साथ विश्व में तृतीय तथा मांस उत्पादन में सातवें स्थान पर है। यही कारण है कि कृषि क्षेत्र में जहाँ हम मात्र 4-2 प्रतिशत की वार्षिक वृद्धि दर प्राप्त कर रहे हैं वहीं पशुपालन से 4-5 प्रतिशत। इस तरह पशुपालन व्यवसाय में ग्रामीणों को रोजगार प्रदान करने तथा उनके सामाजिक एवं आर्थिक स्तर को ऊँचा उठाने की अपार सम्भावनायें हैं। पशुपालकों हेतु बेहतर पशुपालन के संदर्भ में विभिनन शोध संस्थाओं से विकसित चुनिन्दा तकनीकियों का पूर्वान्चल की समस्याओं पर आधारित सारगर्भित संग्रह इस तकनीकि पुस्तिका में किया गया है। हम सर्वप्रथम डा.",,,आशभाशेक्ति,175,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
9,"This technical manual contains a concise collection of selected techniques developed from various research institutes in the context of better animal husbandry for livestock farmers, based on the problems of the Purvanchal region. We first met Dr.",hope,"भारतीय अर्थव्यवस्था में पशुपालन का बहुत ही महत्वपूर्ण स्थान है। देश की लगभग 70 प्रतिशत आबादी कृषि एवं पशुपालन पर निर्भर है। छोटे व सीमांत किसानों के पास कुल कृषि भूमि की 30 प्रतिशत जोत है। इसमें 70 प्रतिशत कृषक पशुपालन व्यवसाय से जुड़े हैजिनके पास कुल पशुधन का 80 प्रतिशत भाग मौजूद है। स्पष्ट है कि देश का अधिकांश पशुधन, आर्थिक रूप से निर्बल वर्ग के पास है। भारत में लगभग 49.94 करोड़ गाय, 40.53 करोड़ भैंस, 44.55 करोड़ बकरी, 7.64 करोड़ भेड़, 44 करोड़ सूकर तथा 68.88 करोड़ मुर्गी कापालन किया जा रहा है। हमारा देश 424.8 मिलियन टन दुग्ध उत्पादन के साथ विश्व में प्रथम, अण्डा उत्पादन में 53200 करोड़ के साथ विश्व में तृतीय तथा मांस उत्पादन में सातवें स्थान पर है। यही कारण है कि कृषि क्षेत्र में जहाँ हम मात्र 4-2 प्रतिशत की वार्षिक वृद्धि दर प्राप्त कर रहे हैं वहीं पशुपालन से 4-5 प्रतिशत। इस तरह पशुपालन व्यवसाय में ग्रामीणों को रोजगार प्रदान करने तथा उनके सामाजिक एवं आर्थिक स्तर को ऊँचा उठाने की अपार सम्भावनायें हैं। पशुपालकों हेतु बेहतर पशुपालन के संदर्भ में विभिनन शोध संस्थाओं से विकसित चुनिन्दा तकनीकियों का पूर्वान्चल की समस्याओं पर आधारित सारगर्भित संग्रह इस तकनीकि पुस्तिका में किया गया है। हम सर्वप्रथम डा.",,,आशभाशेक्ति,37,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
9,"Prakash S. Naik, Director, Fr. Research., expresses its sincere gratitude to Varanasi, whose sustained efforts and guidance have made this publication possible. Dr. Ashok Kumar Singh, Regional Project Director, Zone IV (Bh. ) provided effective technical guidance in the presentation of this booklet, based on whose in-depth experience this booklet could be elaborated. Dr. Awadhesh Bahadur Rai, Chairman, PME Cell (Ind. This booklet is being published for the benefit of farmers as a result of the valuable suggestions given by S.No., Varanasi). In addition, Dr. Raj Nath Prasad, Coordinator, Krishi Vigyan Kendra, ICAR, Varanasi guided the topic from time to time which has made this booklet very useful. We hope that this collection 'Animal Husbandry Guide' will prove to be beneficial for cattle rearers and farmers.",hope,"प्रकाश एस. नाईक, निदेशक, भा-स.अनुसं., वाराणसी का हार्दिक आभार व्यक्त करते हैं जिनके सतत् प्रयास एवं दिशा निर्देशन से यह प्रकाशन सम्भव हुआ है। डा. अशोक काुमार सिंह, क्षेत्रीय परियोजना निदेशक, चतुर्थ जोन (भा.कृ.अनु.प.) ने इस पुस्तिका की प्रस्तुति मेंसफल तकनीकि मार्गदर्शन प्रदान किया, जिनके गहन अनुभव के आधार पर इस पुस्तिका को विस्तृत स्वरूप दिया जा सका। डा. अवधेश बहादुर राय, अध्यक्ष, पी.एम.ई. सेल (भा-स.अनु.सं., वाराणसी) द्वारा दिये गये बहुमूल्य सुझावों केफलस्वरूप इस पुस्तिका को कृषकों के लाभार्थ प्रकाशित किया जा रहा है। इसके अतिरिक्त डा. राज नाथ प्रसाद, समन्वयक, कृषि विज्ञान केन्द्र, भा.स.अनु.सं,, वाराणसी ने समय-समय पर विषयक मार्गदर्शन किया जिसके कारण इस पुस्तिका को बहुउपयोगी बनाया जा सका है। हम आशा करते हैं कि यह संग्रह ""पशुपालन मार्गदर्शिका' पशुपालकों एवं किसानों के लिए अवश्य लाभप्रद सिद्ध होगा।",,,आशभाशेक्ति,130,input/md/hindi\Pashupalan Margdarshika.pdf,para,,
10,| | Order | No. Subjects | Pages | Numbers | | - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 4 | Race | Election | & | Genetic Reform | | | 2 | | Proper nutrition | | 3 | | Housing | | 4 | | 4 | | 4 | | Goat rearing | | 43 | | 5 | | Pig rearing | | One | | Emerging | | Occupation | | 48 | | 6 | | Poultry | | 22 | | 7 | | Fodder | | Production | | Technical | | 26 | | 8 | | Infectious | | Diseases | | 33 | | 9 | | Vaccination | | 37 | | 40 | | Parasite | | Control | | 39 | | 44 | | Thinella | | Disease | | Prevention | | 42 | | 42 | | Prevention of Belly | or | | Amber | |,hope,"|     |       | क्रम   |  सं.    | विषय    | पृष्ठ   | संख्या   |
|-----|-------|-------|--------|--------|-------|-------|
| 4.  | नस्ल   | चुनाव   | एवं     | अनुवांशिक  | सुधार   | ।     |
| 2.  | समुचित  | पोषण   | प्रबन्धन | 6      |       |       |
| 3.  | आवास   | प्रबन्ध | 4]     |        |       |       |
| 4.  | बकरी   | पालन   | 43     |        |       |       |
| 5.  | सूकर   | पालन   | एक     | उभरता   | व्यवसाय | 48    |
| 6.  | मुर्गी   | पालन   | 22     |        |       |       |
| 7   | चारा    | उत्पादन | तकनीकि   | 26     |       |       |
| 8.  | संक्रामक | रोग    | 33     |        |       |       |
| 9.  | टीकाकरण | 37    |        |        |       |       |
| 40. | परजीवी  | नियंत्रण | 39     |        |       |       |
| 44. | थनैला   | रोग    | की      | रोकथाम   | 42    |       |
| 42. | बेली    | या     | अम्बर   | की      | रोकथाम  | 45    |
| 43. | विषाक्तता | :     | लक्षण   | एवं     | उपचार  | 46    |
| 44. | पशु    | स्वास्थ्य | हेतु     | पारम्परिक | तकनीकियाँ | 50    |
| 45. | पशुपालन | जन्य   | प्रश्न   | एवं     | उत्तर  | 53    |
| 46. | पशुपालन | विभाग   | के      | माध्यम   | से     | केन्द्र  |
| द्वारा | संचालित  | विभिनन  | योजनायें   |        |       |       |
| 47. | डेयरी   | विकास   | में      | बैंकों     | का     | योगदान  |",,,आशभाशेक्ति,105,input/md/hindi\Pashupalan Margdarshika.pdf,table,,
