chunkId,content,StartPage,EndPage,heading,ContentWordCount,pdfName,contentType,image,summary
1,## रबी फसलों को सघन पद्धतियाँ 209,,,,7,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,heading,,
2,"कृषि विभाग, उत्त्तर प्रदेश लखनऊ",,,रबी फसलों को सघन पद्धतियाँ 209,5,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
3,|॥2,,,रबी फसलों को सघन पद्धतियाँ 209,1,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,table,,
4,"विधानभवन, लखनऊ है॥ (का5शॉट सूर्य प्रताप शाही मंत्री, कृषि, कृषि शिक्षा, कृषि अनुसंधान सन्देश हा ६83 प्रदेश ढ कक यह हर्ष का विषय है कि कृषि विभाग, उत्त्तर प्रदेश ""रबी फसलों की सघन पद्धतियाँ"" नामक पुस्तक का निरन्तर प्रकाशन कर रहा है। यह पुस्तक कृषि उत्पादन में संलग्न कृषक बन्धुओं के तकनीकी ज्ञान में ।है अभिवृद्धि के दृष्टिकोण सेअत्यन्त उपयोगीसिद्ध होगी | ि ३ कृषक हमारे देश की अर्थव्यवस्था की धुरी हैं |इनके विकास के बिना देश के विकास की अवधारणा एक ।",,,रबी फसलों को सघन पद्धतियाँ 209,83,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
5,"दिवास्वप्न जैसा है। इस बात को ध्यान में रखते हुए ""रबी फसलों की सघन पद्धतियाँ-209"" कृषकों के डे समक्ष प्रस्तुत कीजा रही है। फसलों के उत्पादन एवं उत्पादकता हेतु मृदा उर्वरता के संरक्षण केसाथ ही ४कि साथ विभिनन फसलों की उत्पादन तकनीकी में निरन्तर हो रहे उननत शोधों से तकनीकी प्रसार से है * कै जुड़े कर्मचारियों, किसानों केसाथ-साथ अधिकारियों का भी भिज्ञ होना आवश्यक है। इस पुस्तक के के । संकलन में प्रदेश के विभिनन शोध संस्थानों एवं कृषि विश्वविद्यालयों के वैज्ञानिकों और विशेषज्ञों कासराहनीय",,,रबी फसलों को सघन पद्धतियाँ 209,86,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
6,योगदान है| $*,,,रबी फसलों को सघन पद्धतियाँ 209,3,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
7,"४ मुझे पूर्ण विश्वास है कि कृषि विभाग के अधिकारी एवं कर्मचारी अपने दायित्वों का पूरी क्षमता के साथ । निर्वहन करके भारतीय अर्थव्यवस्था के मेरूदण्ड, किसानों को अपने उद्यम में अग्रसर होने का मार्ग प्रशस्त ॥ करेंगे, जिससे सरकार के सन् 2022 तक कृषकों की आय दोगुनी करने के संकल्प के पूर्ण होने के साथ ही पण्डित दीन दयाल उपाध्याय के ""अन्त्योदय"" का स्वप्न भी साकार हो सकेगा। शोध संस्थानों एवं कृषि । विश्वविद्यालयों के वैज्ञानिकों तथा कृषि विभाग के अधिकारियों एवं कर्मचारियों के द्वारा निरन्तर परामर्श एवं सहयोग के बिना ऐसी तकनीकी एवं ज्ञानवर्धक पुस्तक का प्रकाशन सम्भव नहीं है। मैं उन सभी परामर्शदाताओं, व्यक्तियों एवं संस्थाओं के प्रति इस महत्वपूर्ण प्रकाशन के लिए आभार एवं शुभकामनाएं व्यक्त मी करता हूँ । इस पुस्तक के प्रकाशन हेतु कृषि विभाग को बधाई देता हूँ औरआशा करता हूँ कि विभाग, कृषकों के उन्नयन हेतु सतत् रूप से और अधिक सक्रिय और सार्थक प्रयास करता रहेगा। मुझे विश्वास है कि यह है| पुस्तक कृषि प्रसार से जुड़े अधिकारियों एवं कृषकों के लिए प्रेरक एवं उपयोगी सिद्ध होगी | 42://% बंटदा- कपापऋओ, 2 0(/४. (सूर्य प्रताप शाही) और ""-प मंत्री, कृषि, कृषि शिक्षा, कृषि अनुसंघान",,,रबी फसलों को सघन पद्धतियाँ 209,193,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
8,| का *)वहल,,,रबी फसलों को सघन पद्धतियाँ 209,2,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,table,,
9,"उत्तर प्रदेश निदेशालय, उत्तर प्रदेश मदन मोहन मालवीय मार्ग (>् कृषि भवन, लखनऊ .मग ( जो 2, कार्यालय : (0522) 2205868 2 हि 5, (6कट (0522) 2205869 के डे हा न3 6 फ फैक्स : (0522) 2206582 ० सोराज सिंह कृषि निदेशक, उतर प्रदेश प्रदेश में कृषि,"" कृषि प्रसार अधिकारियों, प्राविधिकों एवं कृषकों के उचित मार्गदर्शन हेतु ""रबी फसलों की सघन पद्धतियाँ-2049"" पुस्तिका का प्रकाशन चन्द्रशेखर आजाद कृषि एवं प्रौद्योगिक",,,रबी फसलों को सघन पद्धतियाँ 209,70,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
10,## य्ब्द्,,,,2,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,heading,,
11,"विश्वविद्यालय, कानपुर, आचार्य नरेन्द्रदेव कृषि एवं प्रौद्योगिक विश्वविद्यालय, कुमारगंज, अयोध्या, सरदार बललभ भाई पटेल कृषि एवं प्रौद्योगिक विश्वविद्यालय, मोदीपुरम, मेरठ, सैम हिग्गिनबॉटम कृषि प्रौद्योगिकी एवं विज्ञान विश्वविद्यालय, नैनी, प्रयागराज, बांदा कृषि एवं प्रौद्योगिक विश्वविद्यालय, बांदा, बनारस हिन्दू विश्वविद्यालय, वाराणसी एवं अन्य कृषि संस्थाओं के वैज्ञानिकों के परामर्श तथा सम्भागीय कृषि परीक्षण एवं प्रदर्शन केन्द्र व मुख्यालय के अधिकारियों की संस्तुति एवं दिशा निर्देशन में तैयार किया गया है",,,य्ब्द्,68,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
12,| इस पुस्तिका,,,य्ब्द्,2,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,table,,
13,"में जैव उर्वरकों, बायोपेस्टीसाइड्स, एकीकृत नाशी जीव प्रबन्धन, चारा फसलों की खेती एवं फसल अवशेष प्रबन्धन के अतिरिक्त सिट्रोनिला कीसहफसली खेती एवं समेकित पादप पोषण को विशेष रूप से महत्व दिया गया है। कृषि पास्थितिकीय के सन्तुलन को बनाये रखकर टिकाऊ खेती को बनाये रखने में यह पुस्तिका अत्यन्त उपयोगी सिद्ध होगी | इस पुस्तिका को तैयार करने में प्रदेश केसमस्त कृषि विश्वविद्यालयों एवं अन्य संस्थाओं के वैज्ञानिकों ._ ... .. तथा कृषि विभाग के सम्बन्धित अधिकारियों द्वारा प्रदत्त परामर्श एवं सहयोग हेतु मैं समी का आभार व्यक्त ७ ७ कि करता हूँ। 00६ ६ आशा है कि यह पुस्तिका कृषि प्रसार से जुड़े अधिकारियों, कर्मचारियों एवं कृषकों के लिए अत्यन्त ॥ जि उपयोगी सिद्ध होगी। । [4हे । (सोराज सिंह) "" कृषि निदेशक, ' कल उत्तर प्रदेश | रा । । ऐपर व बै । &५ । ] ! द",,,य्ब्द्,141,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
14,| |,,,य्ब्द्,0,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,table,,
15,हि का ० है | ञु । 0 ट | | [ ' । । क,,,य्ब्द्,16,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
16,छ मध्य पश्चिमी मैदानी क दक्षिणी पश्चिमी अर्छ्धशुष्क मैदानी क्षेत्र 6) मध्य मैदानी क्षेत्र 9 बुन्देलखण्ड क्षेत्र & उत्तर-पूर्वी मैदानी क्षेत्र ७ पूर्वी मेदानी क्षेत्र ७ विन्ध्य क्षेत्र,,,य्ब्द्,28,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,para,,
17,## विषय-सूची,,,,2,input/md/hindi\RabiBookallpagesfullbook_2019.pdf,heading,,
