chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
1,"Department of Agriculture, Uttar Pradesh Lucknow|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2|॥2","Rabi Crop Intensification Methods 209,रबी फसलों को सघन पद्धतियाँ 209","कृषि विभाग, उत्त्तर प्रदेश लखनऊ",,,रबी फसलों को सघन पद्धतियाँ 209,40,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
3,"Vidhan Bhavan is in Lucknow. (Ka5Shot Surya Pratap Shahi Minister of Agriculture, Agriculture Education, Agriculture Research, Sandesh Ha683 It is a matter of happiness that the Department of Agriculture, Uttar Pradesh is continuously publishing a book titled ""Dense Methods of Rabi Crops."" This book delves into the technical knowledge of peasant brothers engaged in agricultural production. Farmers are the backbone of our country's economy. |इनके The concept of development of the country without development is one.",Rabi Crop Intensification Methods 209,"विधानभवन, लखनऊ है॥ (का5शॉट सूर्य प्रताप शाही मंत्री, कृषि, कृषि शिक्षा, कृषि अनुसंधान सन्देश हा ६83 प्रदेश ढ कक यह हर्ष का विषय है कि कृषि विभाग, उत्त्तर प्रदेश ""रबी फसलों की सघन पद्धतियाँ"" नामक पुस्तक का निरन्तर प्रकाशन कर रहा है। यह पुस्तक कृषि उत्पादन में संलग्न कृषक बन्धुओं के तकनीकी ज्ञान में ।है अभिवृद्धि के दृष्टिकोण सेअत्यन्त उपयोगीसिद्ध होगी | ि ३ कृषक हमारे देश की अर्थव्यवस्था की धुरी हैं |इनके विकास के बिना देश के विकास की अवधारणा एक ।",,,रबी फसलों को सघन पद्धतियाँ 209,83,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
4,"It's like a dream. Keeping this in mind, ""Dense Methods of Rabi Crops-209"" is being presented to the farmers. For the production and productivity of crops, along with the preservation of soil fertility, it is necessary for the employees, farmers as well as the officials concerned to be aware of the technological advancements that are constantly taking place in the production technology of various crops. of this book. Scientists and experts from various research institutes and agricultural universities of the state are involved in the compilation.",Rabi Crop Intensification Methods 209,"दिवास्वप्न जैसा है। इस बात को ध्यान में रखते हुए ""रबी फसलों की सघन पद्धतियाँ-209"" कृषकों के डे समक्ष प्रस्तुत कीजा रही है। फसलों के उत्पादन एवं उत्पादकता हेतु मृदा उर्वरता के संरक्षण केसाथ ही ४कि साथ विभिनन फसलों की उत्पादन तकनीकी में निरन्तर हो रहे उननत शोधों से तकनीकी प्रसार से है * कै जुड़े कर्मचारियों, किसानों केसाथ-साथ अधिकारियों का भी भिज्ञ होना आवश्यक है। इस पुस्तक के के । संकलन में प्रदेश के विभिनन शोध संस्थानों एवं कृषि विश्वविद्यालयों के वैज्ञानिकों और विशेषज्ञों कासराहनीय",,,रबी फसलों को सघन पद्धतियाँ 209,86,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
5,"is a contribution. $*4 I am confident that the officers and staff of the Department of Agriculture will discharge their duties to the best of their ability. Discharging the backbone of the Indian economy, paving the way for farmers to move forward in their enterprise. With this, along with the fulfillment of the government's resolve to double the income of farmers by 2022, Pandit Deen Dayal Upadhyaya's dream of ""Antyodaya"" will also be realized. Research Institutes and Agriculture. The publication of such a technical and informative book is not possible without the constant consultation and cooperation of the scientists of the universities and the officers and staff of the Department of Agriculture. I express my gratitude and best wishes to all those advisors, individuals and institutions for this important publication. I congratulate the Department of Agriculture for the publication of this book and hope that the Department will continue to make more active and meaningful efforts for the upliftment of farmers. I am sure it is. The book will prove to be inspiring and useful for the officers and farmers associated with agricultural extension. 42: / /% Bantada-Kapaprao, 2 0 (/ 4. (Surya Pratap Shahi) & ""- Minister of Agriculture, Agricultural Education, Agricultural Research Institute",Rabi Crop Intensification Methods 209,योगदान है| $*,,,रबी फसलों को सघन पद्धतियाँ 209,196,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
7,| का *)वहल,रबी फसलों को सघन पद्धतियाँ 209,| का *)वहल,,,रबी फसलों को सघन पद्धतियाँ 209,2,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,table,,
8,"Uttar Pradesh Directorate, Uttar Pradesh Madan Mohan Malviya Marg (> Krishi Bhawan, Lucknow. Mag. (Joe 2, Office: (0522) 2205868 2H5, (6Cut. (0522) 2205869K DeHaNo3 6F Fax: (0522) 2206582 0 Sooraj Singh Director Agriculture, Uttar Pradesh, Publication of the booklet ""Intensive Methods of Rabi Crops-2049"" for the proper guidance of ""Agricultural Extension Officers, Technicians and Farmers"" Chandrashekhar Azad Agriculture and Technology",Rabi Crop Intensification Methods 209,"उत्तर प्रदेश निदेशालय, उत्तर प्रदेश मदन मोहन मालवीय मार्ग (>् कृषि भवन, लखनऊ .मग ( जो 2, कार्यालय : (0522) 2205868 2 हि 5, (6कट (0522) 2205869 के डे हा न3 6 फ फैक्स : (0522) 2206582 ० सोराज सिंह कृषि निदेशक, उतर प्रदेश प्रदेश में कृषि,"" कृषि प्रसार अधिकारियों, प्राविधिकों एवं कृषकों के उचित मार्गदर्शन हेतु ""रबी फसलों की सघन पद्धतियाँ-2049"" पुस्तिका का प्रकाशन चन्द्रशेखर आजाद कृषि एवं प्रौद्योगिक",,,रबी फसलों को सघन पद्धतियाँ 209,70,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
9,"University, Kanpur, Acharya Narendra Dev University of Agriculture and Technology, Kumarganj, Ayodhya, Sardar Balabhai Patel University of Agriculture and Technology, Modipuram, Meerut, Sam Higginbottom University of Agricultural Technology and Sciences, Naini, Prayagraj, Banda University of Agriculture and Technology, Banda, Banaras Hindu University, Varanasi and other agricultural institutions in consultation with scientists and under the recommendation and guidance of the officers of the divisional agricultural testing and demonstration center and headquarters.",Yabd,"विश्वविद्यालय, कानपुर, आचार्य नरेन्द्रदेव कृषि एवं प्रौद्योगिक विश्वविद्यालय, कुमारगंज, अयोध्या, सरदार बललभ भाई पटेल कृषि एवं प्रौद्योगिक विश्वविद्यालय, मोदीपुरम, मेरठ, सैम हिग्गिनबॉटम कृषि प्रौद्योगिकी एवं विज्ञान विश्वविद्यालय, नैनी, प्रयागराज, बांदा कृषि एवं प्रौद्योगिक विश्वविद्यालय, बांदा, बनारस हिन्दू विश्वविद्यालय, वाराणसी एवं अन्य कृषि संस्थाओं के वैज्ञानिकों के परामर्श तथा सम्भागीय कृषि परीक्षण एवं प्रदर्शन केन्द्र व मुख्यालय के अधिकारियों की संस्तुति एवं दिशा निर्देशन में तैयार किया गया है",,,य्ब्द्,68,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
10,| इस पुस्तिका,य्ब्द्,| इस पुस्तिका,,,य्ब्द्,2,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,table,,
11,"In addition to biofertilizers, biopesticides, integrated pest management, fodder crops cultivation and crop residue management, intensive cultivation of citronella and integrated plant nutrition have been given special importance. This booklet will prove to be very useful in maintaining sustainable agriculture by maintaining the balance of agroecology. ...... and I express my gratitude to Sammy for the advice and co-operation extended by the concerned officers of the Department of Agriculture. 006 6 It is hoped that this booklet will be of great use to the officers, employees and farmers associated with agricultural extension. Which will prove to be useful. . [4. (Sooraj Singh) ""Director of Agriculture,"" Uttar Pradesh yesterday. . Appar and Ba. & 5. ]! The",Yabd,"में जैव उर्वरकों, बायोपेस्टीसाइड्स, एकीकृत नाशी जीव प्रबन्धन, चारा फसलों की खेती एवं फसल अवशेष प्रबन्धन के अतिरिक्त सिट्रोनिला कीसहफसली खेती एवं समेकित पादप पोषण को विशेष रूप से महत्व दिया गया है। कृषि पास्थितिकीय के सन्तुलन को बनाये रखकर टिकाऊ खेती को बनाये रखने में यह पुस्तिका अत्यन्त उपयोगी सिद्ध होगी | इस पुस्तिका को तैयार करने में प्रदेश केसमस्त कृषि विश्वविद्यालयों एवं अन्य संस्थाओं के वैज्ञानिकों ._ ... .. तथा कृषि विभाग के सम्बन्धित अधिकारियों द्वारा प्रदत्त परामर्श एवं सहयोग हेतु मैं समी का आभार व्यक्त ७ ७ कि करता हूँ। 00६ ६ आशा है कि यह पुस्तिका कृषि प्रसार से जुड़े अधिकारियों, कर्मचारियों एवं कृषकों के लिए अत्यन्त ॥ जि उपयोगी सिद्ध होगी। । [4हे । (सोराज सिंह) "" कृषि निदेशक, ' कल उत्तर प्रदेश | रा । । ऐपर व बै । &५ । ] ! द",,,य्ब्द्,141,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
12,It is 0. 0 | | ['| . aSouth Western Hemispheric Plains 6) Central Plains 9) Bundelkhand Region & North-Eastern Plains 7) Eastern Plains 7) Vindhya Region,Yabd,हि का ० है | ञु । 0 ट | | [ ' । । क,,,य्ब्द्,44,input/md/hindi/RabiBookallpagesfullbook_2019.pdf,para,,
