chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
1,"Pe 4 gilnanan jalave, .20 re & pak'h pal 55743 au.. -3.. Sishakikanak 2. 93 57038 9 9 B > 20860 are not Bakakkan. A 0. 77 N > > S: A ""--Lahalka * * 2 8 Haq. 3 Whs2 > O4 + Ja85h Hundredab8 8",nan,"पे ४ गिलननन जलवे,  ॥. 20 रे& पक 'ह पल ५५७४३ औ..-3.",,,,49,input/md/hindi\SAP2023_24.pdf,para,,
2,"Come Day A 15Ginger - 9. . How to calculate? 4 137 Na Re Ha9 ""45% is 2 3 5.Ginger - 9. . How to calculate? 4 137 Na Re Ha9 ""45% is 2 3 5.",nan,आओ डे ऐ ढ १५्,,,,53,input/md/hindi\SAP2023_24.pdf,para,,
3,"Shhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh. (5 sugar 2 5 made ""25986 7 yards > > > 0. . "" 1 540 not yesterday.. (5 sugar 2 5 made ""25986 7 yards > > > 0. . "" 1 540 not yesterday.",nan,शा हय हू 2८;: ४८मन डे ह > इ जे सँ जे >ख * ब्य्,,,,47,input/md/hindi\SAP2023_24.pdf,para,,
4,"5 4r < cr hut ""ku sll > ay that it is 23 h & 2. is 0 is 0 5 say 42 2 & 22 27"" ay that 20 r. : 777 9) 65 and Karai La;",,"५ 4्र < क्र हट ""कु श्ल्ल > अय कि बे 23 हु & २. है ० है ० ५ कह ४2 2 व 22 27 ""कक कि 2० रे .: ७७७ 9) ६५ आ क ' र् ैरई ला ;",,,,41,input/md/hindi\SAP2023_24.pdf,para,,
5,0 4.0505050505050505050505050505050505050505050505050505050505050505050505050505,nan,0 ४...,,,,40,input/md/hindi\SAP2023_24.pdf,para,,
6,) ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhis.is.is.is.is.is.is.is.is.is.is.is.is.is.is.,nan,)अक प «ूहट *१ ; लो> मैहै 4. ईं फश,,,,40,input/md/hindi\SAP2023_24.pdf,para,,
7,. J isH5 is undecided and hook.H5 is undecided and hook.H5 is undecided and hook.H5 is undecided and hook.H5 is undecided and hook.,nan,। जे है,,,,48,input/md/hindi\SAP2023_24.pdf,para,,
8,23.T: is 5. 4 paT: is 5. 4 paT: is 5. 4 paT: is 5. 4 paT: is 5. 4 paT: is 5. 4 pa,nan,23.,,,,43,input/md/hindi\SAP2023_24.pdf,para,,
9,G of 6 5'Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu''Chu',nan,दे ्र ग की 6 5,,,,40,input/md/hindi\SAP2023_24.pdf,para,,
10,". P8,| | | | | | | 2 | | / 674% 7 | | / 0. 96741 | 49 | of | | - - - | - - - | | - - - | | - - - - | | - - - - - | | - - - - | | - - - - | | - - - - - - | | .. 4. | | ) / 6, 0 / K > HUD | | . "" 3 | | 09 607 | | 6 | | | | | | | | | | | Q. 46. 4. 5854. S. 751. D. 400. 0. 648. 8. & | 6 | is | 0] | 86 | 00 | 75 | | # | 4 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |",nan,"। पी8,",,,,52,input/md/hindi\SAP2023_24.pdf,para,,
11,"Please do not worry. Answer Heena 8 Q 52 Kir / 13: Bomb rhythm 8 Gum Haj Har8 (NFSM Cell ""Seeds and Fields Section) 4 + T /. Lucknow 294) Krishi Bhawan, Lucknow 2AA. 8. . "" £. 0. :). / 5 (2 [9]) . "" 2 is 99. Go to 36 '200 > and:.",,"दद्श कषि षि परि्थादए। उत्तर हिना ८ क् 52 किर/१३:॥| बम लय ८ गम हज हर8 (एन.एफ.एस.एम. प्रकोष्ठ ""बीज एवं प्रक्षेत्र अनुभाग) ४ + टी / | लखनऊ 2 9 ४) कृषि भवन, लखनऊ 2कक ।8॥॥॥ £॥ | 0॥॥:)॥ / ५ ((2[९॥॥॥ 2 है९९॥॥| ""जा ३६ ' 2००>व हैः.",,,,49,input/md/hindi\SAP2023_24.pdf,para,,
12,"57 > 4 *Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM.Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM.Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM.Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM.Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM.Krishi Bhawan, Lucknow Address - / / 0' _ / NFSM."," Uttar Pradesh (NFSM Cell),nan,Directorate of Agriculture",57> 4 *,,,,45,input/md/hindi\SAP2023_24.pdf,para,,
13,"/ 04 / 2023-24, dated: 2 ""June, 20234. Deputy Director of Agriculture (NFSM-Pulses Component, all 75 Districts) 2. Deputy Director of Agriculture (NFSM-Pulses Component, all 75 Districts) 3. FSM - Rice Component, 24 Districts)4. Deputy Director of Agriculture (NFSM-Pulses Component, all 75 Districts) 2. Deputy Director of Agriculture (NFSM-Pulses Component, all 75 Districts) 3. FSM - Rice Component, 24 Districts)","Directorate of Agriculture, Uttar Pradesh (NFSM Cell)","/04 /2023-24, दिनांक: 2"" जून, 2023",,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",40,input/md/hindi\SAP2023_24.pdf,para,,
14,"Aligarh, Bareilly, Badaun, Moradabad, Rampur, Pratapgarh, Ghazipur, Jaunpur, Mirzapur, Azamgarh, Mau, Ballia, Gorakhpur, Deoria, Sant Kabir Nagar, Unnao, Rae Bareli, Sitapur, Hardoi, Amethi, Balrampur, Bahraich and Arawasti. 3. Deputy Director of Agriculture (NFSM: Wheat Component, 29 Districts)Hathras, Prayagraj, Kaushambi, Pratapgarh, Jhansi, Lalitpur, Hamirpur, Mahoba, Banda, Chitrakoot, Varanasi, Chandauli, Ghazipur, Jaunpur, Mirzapur, Sonbhadra, Azamgarh, Mau, Ballia, Morakhpur, Deoria, Kushinagar, Basti, Sant Kabir Nagar, Lucknow, Ayodhya, Amethi, Gonda, Balrampur, Bahraich and Shravasti.","Directorate of Agriculture, Uttar Pradesh (NFSM Cell)","अलीगढ़, बरेली, बदायूं, मुरादाबाद, रामपुर, प्रतापगढ़, गाजीपुर, जौनपुर, मिर्जापुर, आजमगढ़, मऊ, बलिया, गोरखपुर, देवरिया, संतकबीरनगर, उननाव, रायबरेली, सीतापुर, हरदोई, अमेठी, बलरामपुर, बहराइच तथा आ्रावस्ती | ह 3. उप कृषि निदेशक (एन.एफ.एस.एम:-गेहूँ घटक, 29 जनपद)",,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",101,input/md/hindi\SAP2023_24.pdf,para,,
15,"Kanpur Dehat, Prayagraj, Chitrakoot, Mathura, Mirzapur and Hamirpur. 5. Deputy Director of Agriculture (NFSM - Nutri Serials (Jowar, Bajra, Sawan-24 Districts) Banda, Chitrakoot, Hamirpur, Kanpur Dehat, Kanpur Nagar, Agra, Aligarh, Prayagraj, Auraiya, Badaun, Bulandshahr, Etah, Etawah, Firozabad, Ghazipur, Hathras, Jalaun, Kasganj, Mainpuri, Mathura, Mirzapur, Pratapgarh, Sambhal and Sonbhadra. Subjects: National.","Directorate of Agriculture, Uttar Pradesh (NFSM Cell)","। ... कानपुर देहात, प्रयागराज, चित्रकूट, मथुरा, मिर्जापुर तथा हमीरपुर। 5. उप कृषि निदेशक (एन.एफ.एस.एम.-न्यूट्री सीरियल्स (ज्वार, बाजरा, सावां- 24 जनपद) बांदा, चित्रकूट, हमीरपुर, कानपुर देहात, कानपुर नगर, आगरा, अलीगढ, प्रयागराज, औरैया, बदायूँ, बुलन्दशहर, एटा, इटावा, फिरोजाबाद, गाजीपुर, हाथरस, जालौन, कासगंज, मैनपुरी, मथुरा, मिर्जापुर, प्रतापगढ़, सम्भल तथा सोनभद्र | विषय:- राष्ट्रीय.",,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",51,input/md/hindi\SAP2023_24.pdf,para,,
16,"District-wise action plan of the Food Security Mission Plan Year 2023-24, regarding the remittance for implementation and execution. The National Food Security Mission Plan State Action Plan for the year 2023-24 has been approved through the minutes of the UP Government dated 43rd June 2023 (Meeting of the State Level Approval Committee constituted under the Chairmanship of Chief Secretary, UP Government dated 34.05.2023). Accordingly, detailed action plans pertaining to district-wise targets as per component-wise approved action plans (rice, pulses, wheat, course serials and nutri serials) are being circulated. You are, therefore, directed to ensure cent per cent achievement of the targets indicated district-wise by adhering to the guidelines indicated in the Action Plan. . Also, in addition to the contents of the Action Plan, the Operational Guidelines issued by the Government of India and the guidelines provided from time to time at this stage shall also remain in force. will be effective. Beneficiary farmers (SC / ST) with monthly physical and financial progress.","Directorate of Agriculture, Uttar Pradesh (NFSM Cell)","खाद्य सुरक्षा मिशन योजना वर्ष 2023-24 की जनपदवार द कार्य-योजना, क्रियान्वयन एवं कार्यान्वयन हेतु प्रेषण के सम्बंध में। द राष्ट्रीय खाद्य सुरक्षा मिशन योजना वर्ष 2023-24 की राज्य कार्ययोजना उ0प्र० शासन के पत्रांक-68858-68/2-3-23, दिनांक 43 जून 2023 द्वारा प्रेषित कार्यवृत्त (मुख्य सचिव, उ0प्र0 शासन की अध्यक्षता में गठित राज्य स्तरीय स्वीकृति समिति की बैठक दिनांक 34.05.2023) के माध्यम से अनुमोदित की गई है। तदनुसार घटकवार अनुमोदित कार्ययोजना (चावल, दलहन, गेहूँ, कोर्स सीरियल्स तथा न्यूट्री सीरियल्स) के अनुसार जनपदवार लक्ष्यों से सम्बन्धित विस्तृत कार्य-योजना प्रेषित की जा रही हैं। अतः तद्क्रम में आपको निर्देशित किया जाता है कि कार्ययोजना में दर्शित दिशा-निर्देशों का अनुपालन करते हुए जनपदवार दर्शाये गये लक्ष्यों के सापेक्ष शत-प्रतिशत पूर्ति सुनिश्चित की जाये। । साथ ही कार्ययोजना में दी गयी विषय-वस्तु के अतिरिक्त भारत सरकार द्वारा निर्गत ऑपरेशनल गाइडलाइन्स तथा इस स्तर से समय-समय पर प्रदान किये गये दिशा-निर्देश भी यथावत् । प्रभावी होंगे। मासिक भौतिक एवं वित्तीय प्रगति के साथ लाभार्थी कृषकों (अनुसूचित/जनजाति» । .",,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",159,input/md/hindi\SAP2023_24.pdf,para,,
17,Also send details of Female / Minor / Marginal).Attachments - as above.Attachments - as above.Attachments - as above.Attachments - as above.Attachments - as above.Attachments - as above.Attachments - as above.,"Directorate of Agriculture, Uttar Pradesh (NFSM Cell)",महिला/लघु / सीमान्त) का विवरणभी प्रेषित करें।,,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",42,input/md/hindi\SAP2023_24.pdf,para,,
18,(Vivek Kumar Singh).....................................,"Directorate of Agriculture, Uttar Pradesh (NFSM Cell)",(विवेक कुमार सिंह)-,,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",40,input/md/hindi\SAP2023_24.pdf,para,,
19,"the Director of Agriculture,The K.The K.The K.The K.The K.The K.The K.The K.The K.The K.The K.The K.The K.","Directorate of Agriculture, Uttar Pradesh (NFSM Cell)","कृषि निदेशक,",,,"क कृषि निदेशालय, उत्तर प्रदेश क (एन.एफ.एस.एम. प्रकोष्ठ)",41,input/md/hindi\SAP2023_24.pdf,para,,
